
Experiment #1 begin 
- freq    = 5.00 Hz
- rho_int = 700.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	262	0.11	0.490
1.20	8	0.15	0.673
1.30	131	0.11	0.543
1.40	62	0.15	0.620
1.50	227	0.11	0.506
1.60	54	0.15	0.663
1.70	139	0.10	0.547
1.80	46	0.12	0.618
1.90	202	0.11	0.501
2.00	33	0.13	0.656
2.10	134	0.10	0.548
2.20	34	0.13	0.617
2.30	222	0.11	0.509
2.40	37	0.16	0.668
2.50	130	0.11	0.555
2.60	26	0.15	0.652
2.70	150	0.10	0.536
2.80	21	0.15	0.660
2.90	148	0.09	0.544
3.00	48	0.13	0.640
3.10	183	0.10	0.520
3.20	33	0.14	0.655
3.30	149	0.10	0.541
3.40	30	0.15	0.625
3.50	203	0.11	0.509
3.60	39	0.16	0.662
3.70	128	0.10	0.539
3.80	57	0.14	0.639
3.90	177	0.10	0.528
4.00	58	0.12	0.644
4.10	169	0.09	0.536
4.20	79	0.12	0.627
4.30	203	0.10	0.521
4.40	59	0.12	0.633
4.50	198	0.10	0.520
4.60	39	0.15	0.640
4.70	185	0.11	0.525
4.80	37	0.17	0.648
4.90	164	0.12	0.527
5.00	18	0.19	0.671
5.10	121	0.12	0.559
5.20	58	0.17	0.631
5.30	196	0.12	0.511
5.40	14	0.19	0.669
5.50	120	0.12	0.550
5.60	51	0.17	0.624
5.70	184	0.13	0.515
5.80	45	0.21	0.657
5.90	133	0.16	0.547
6.00	60	0.21	0.632
6.10	175	0.18	0.528
6.20	40	0.23	0.663
6.30	126	0.17	0.545
6.40	22	0.24	0.644
6.50	157	0.19	0.529
6.60	58	0.24	0.654
6.70	134	0.19	0.537
6.80	42	0.24	0.645
6.90	165	0.19	0.532
7.00	23	0.23	0.643
7.10	165	0.18	0.523
7.20	34	0.24	0.650
7.30	136	0.19	0.530
7.40	29	0.24	0.643
7.50	161	0.19	0.526
7.60	13	0.25	0.629
7.70	180	0.18	0.508
7.80	25	0.25	0.652
7.90	152	0.19	0.539
8.00	11	0.24	0.613
8.10	218	0.21	0.490
8.20	24	0.28	0.659
8.30	123	0.19	0.547
8.40	23	0.26	0.619
8.50	190	0.21	0.501
8.60	34	0.29	0.662
8.70	107	0.20	0.543
8.80	36	0.26	0.622
8.90	203	0.21	0.494
9.00	8	0.30	0.667
9.10	116	0.21	0.548
9.20	19	0.25	0.617
9.30	219	0.21	0.495
9.40	6	0.26	0.669
9.50	110	0.19	0.556
9.60	36	0.26	0.626
9.70	176	0.22	0.511
9.80	30	0.31	0.659
9.90	131	0.23	0.533
10.00	11	0.32	0.636
10.10	156	0.26	0.524
10.20	23	0.32	0.644
10.30	160	0.26	0.528
10.40	49	0.32	0.617
10.50	171	0.28	0.504
10.60	49	0.35	0.639
10.70	161	0.26	0.524
10.80	46	0.36	0.608
10.90	195	0.30	0.499
11.00	28	0.40	0.639
11.10	141	0.32	0.520
11.20	14	0.39	0.619
11.30	162	0.34	0.509
11.40	21	0.39	0.634
11.50	164	0.32	0.522
11.60	33	0.39	0.613
11.70	197	0.32	0.493
11.80	44	0.42	0.635
11.90	169	0.33	0.521
12.00	50	0.38	0.595
12.10	213	0.34	0.491
12.20	67	0.42	0.623
12.30	191	0.33	0.504
12.40	62	0.44	0.622
12.50	167	0.33	0.506
12.60	57	0.44	0.624
12.70	171	0.34	0.507
12.80	59	0.46	0.620
12.90	168	0.37	0.507
13.00	56	0.47	0.612
13.10	182	0.39	0.497
13.20	36	0.46	0.613
13.30	198	0.37	0.491
13.40	33	0.48	0.617
13.50	165	0.41	0.500
13.60	48	0.49	0.614
13.70	172	0.41	0.500
13.80	43	0.51	0.626
13.90	163	0.43	0.513
14.00	52	0.50	0.618
14.10	171	0.41	0.508
14.20	58	0.51	0.615
14.30	187	0.42	0.509
14.40	71	0.50	0.611
14.50	180	0.41	0.494
14.60	55	0.51	0.630
14.70	165	0.43	0.515
14.80	54	0.52	0.606
14.90	187	0.42	0.496
15.00	48	0.51	0.612
15.10	179	0.43	0.503
15.20	49	0.49	0.614
15.30	173	0.40	0.504
15.40	45	0.52	0.611
15.50	183	0.43	0.497
15.60	56	0.52	0.618
15.70	173	0.44	0.507
15.80	72	0.52	0.603
15.90	185	0.42	0.495
16.00	67	0.53	0.612
16.10	187	0.44	0.503
16.20	50	0.51	0.606
16.30	182	0.41	0.502
16.40	85	0.51	0.611
16.50	190	0.42	0.501
16.60	68	0.50	0.591
16.70	231	0.42	0.477
16.80	58	0.51	0.631
16.90	159	0.43	0.524
17.00	79	0.52	0.573
17.10	251	0.46	0.473
17.20	62	0.57	0.638
17.30	152	0.53	0.526
17.40	58	0.57	0.586
17.50	209	0.49	0.479
17.60	47	0.62	0.617
17.70	163	0.56	0.507
17.80	62	0.63	0.587
17.90	200	0.57	0.483
18.00	53	0.67	0.615
18.10	160	0.63	0.514
18.20	264	0.61	0.479
18.30	274	0.62	0.479
18.40	277	0.61	0.479
18.50	271	0.61	0.479
18.60	280	0.61	0.478
18.70	282	0.60	0.477
18.80	280	0.60	0.477
18.90	280	0.60	0.477

Experiment #2 begin 
- freq    = 5.00 Hz
- rho_int = 800.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	280	0.11	0.495
1.20	22	0.16	0.688
1.30	128	0.10	0.557
1.40	29	0.13	0.637
1.50	194	0.10	0.520
1.60	24	0.12	0.662
1.70	147	0.09	0.540
1.80	34	0.12	0.641
1.90	184	0.11	0.515
2.00	37	0.12	0.658
2.10	158	0.10	0.534
2.20	22	0.13	0.634
2.30	222	0.11	0.507
2.40	23	0.14	0.654
2.50	162	0.11	0.531
2.60	31	0.13	0.636
2.70	207	0.11	0.514
2.80	17	0.14	0.650
2.90	161	0.11	0.527
3.00	15	0.13	0.634
3.10	190	0.11	0.509
3.20	14	0.13	0.655
3.30	152	0.10	0.533
3.40	21	0.13	0.633
3.50	192	0.11	0.514
3.60	20	0.15	0.651
3.70	143	0.12	0.532
3.80	13	0.14	0.644
3.90	151	0.11	0.533
4.00	28	0.12	0.653
4.10	155	0.10	0.539
4.20	33	0.16	0.650
4.30	188	0.11	0.522
4.40	40	0.14	0.674
4.50	131	0.10	0.559
4.60	17	0.13	0.635
4.70	207	0.11	0.517
4.80	25	0.13	0.675
4.90	132	0.10	0.561
5.00	34	0.14	0.642
5.10	161	0.11	0.522
5.20	27	0.15	0.673
5.30	128	0.10	0.554
5.40	54	0.14	0.634
5.50	183	0.10	0.518
5.60	40	0.15	0.681
5.70	114	0.10	0.566
5.80	33	0.15	0.630
5.90	225	0.11	0.505
6.00	10	0.14	0.678
6.10	146	0.09	0.556
6.20	46	0.15	0.623
6.30	237	0.11	0.503
6.40	37	0.16	0.664
6.50	133	0.11	0.547
6.60	73	0.14	0.633
6.70	202	0.11	0.523
6.80	48	0.14	0.651
6.90	176	0.11	0.533
7.00	43	0.15	0.635
7.10	201	0.11	0.522
7.20	41	0.16	0.654
7.30	157	0.11	0.540
7.40	53	0.17	0.641
7.50	182	0.12	0.526
7.60	21	0.19	0.675
7.70	127	0.11	0.559
7.80	39	0.15	0.635
7.90	190	0.11	0.523
8.00	35	0.16	0.669
8.10	123	0.10	0.556
8.20	46	0.15	0.646
8.30	167	0.10	0.541
8.40	35	0.15	0.652
8.50	154	0.10	0.534
8.60	15	0.16	0.663
8.70	142	0.10	0.544
8.80	30	0.17	0.645
8.90	178	0.11	0.524
9.00	47	0.17	0.652
9.10	193	0.11	0.530
9.20	58	0.16	0.642
9.30	198	0.09	0.514
9.40	16	0.19	0.654
9.50	169	0.13	0.523
9.60	50	0.19	0.653
9.70	172	0.13	0.536
9.80	22	0.17	0.655
9.90	159	0.11	0.535
10.00	41	0.16	0.654
10.10	171	0.11	0.540
10.20	28	0.18	0.647
10.30	183	0.13	0.531
10.40	22	0.19	0.652
10.50	167	0.11	0.527
10.60	19	0.20	0.646
10.70	182	0.15	0.524
10.80	31	0.21	0.654
10.90	163	0.15	0.534
11.00	37	0.20	0.656
11.10	150	0.14	0.541
11.20	56	0.21	0.640
11.30	185	0.14	0.526
11.40	58	0.22	0.660
11.50	159	0.14	0.548
11.60	52	0.21	0.638
11.70	190	0.15	0.530
11.80	58	0.22	0.655
11.90	150	0.14	0.542
12.00	48	0.23	0.643
12.10	167	0.17	0.533
12.20	51	0.22	0.652
12.30	164	0.17	0.539
12.40	42	0.22	0.644
12.50	155	0.18	0.523
12.60	13	0.25	0.670
12.70	116	0.17	0.549
12.80	14	0.25	0.643
12.90	170	0.19	0.531
13.00	30	0.26	0.650
13.10	152	0.19	0.534
13.20	35	0.25	0.662
13.30	141	0.17	0.542
13.40	31	0.26	0.650
13.50	153	0.18	0.532
13.60	37	0.27	0.640
13.70	162	0.21	0.513
13.80	17	0.28	0.660
13.90	125	0.20	0.535
14.00	12	0.27	0.628
14.10	198	0.23	0.510
14.20	38	0.31	0.637
14.30	174	0.25	0.510
14.40	34	0.30	0.642
14.50	165	0.25	0.524
14.60	38	0.31	0.636
14.70	186	0.26	0.513
14.80	29	0.35	0.647
14.90	145	0.25	0.515
15.00	51	0.33	0.640
15.10	152	0.26	0.517
15.20	36	0.35	0.628
15.30	141	0.26	0.510
15.40	33	0.37	0.646
15.50	145	0.26	0.520
15.60	28	0.36	0.631
15.70	179	0.27	0.510
15.80	22	0.37	0.633
15.90	171	0.27	0.508
16.00	43	0.36	0.644
16.10	141	0.26	0.528
16.20	31	0.34	0.621
16.30	180	0.28	0.501
16.40	30	0.39	0.645
16.50	138	0.30	0.524
16.60	39	0.42	0.636
16.70	167	0.32	0.514
16.80	16	0.44	0.649
16.90	146	0.33	0.528
17.00	37	0.43	0.616
17.10	188	0.34	0.499
17.20	36	0.46	0.638
17.30	147	0.38	0.516
17.40	48	0.44	0.621
17.50	179	0.34	0.509
17.60	39	0.43	0.631
17.70	177	0.34	0.500
17.80	38	0.43	0.648
17.90	156	0.35	0.529
18.00	22	0.39	0.609
18.10	240	0.35	0.500
18.20	253	0.37	0.500
18.30	264	0.38	0.500
18.40	269	0.38	0.500
18.50	272	0.38	0.500
18.60	267	0.38	0.500
18.70	264	0.38	0.499
18.80	273	0.39	0.499
18.90	279	0.39	0.498

Experiment #3 begin 
- freq    = 5.00 Hz
- rho_int = 900.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	275	0.11	0.497
1.20	15	0.17	0.693
1.30	126	0.10	0.556
1.40	22	0.14	0.638
1.50	226	0.11	0.513
1.60	26	0.15	0.675
1.70	128	0.10	0.549
1.80	46	0.15	0.644
1.90	201	0.11	0.517
2.00	30	0.16	0.680
2.10	116	0.11	0.562
2.20	44	0.15	0.646
2.30	188	0.11	0.525
2.40	35	0.17	0.684
2.50	118	0.11	0.567
2.60	22	0.16	0.646
2.70	169	0.12	0.531
2.80	26	0.18	0.666
2.90	153	0.13	0.540
3.00	36	0.20	0.653
3.10	165	0.15	0.533
3.20	20	0.22	0.659
3.30	147	0.17	0.538
3.40	35	0.20	0.655
3.50	170	0.16	0.539
3.60	26	0.24	0.668
3.70	152	0.18	0.540
3.80	34	0.25	0.664
3.90	145	0.18	0.546
4.00	37	0.26	0.648
4.10	164	0.21	0.534
4.20	31	0.29	0.666
4.30	133	0.22	0.552
4.40	24	0.29	0.657
4.50	124	0.23	0.547
4.60	21	0.29	0.654
4.70	146	0.22	0.545
4.80	40	0.27	0.637
4.90	160	0.22	0.528
5.00	35	0.30	0.661
5.10	137	0.23	0.549
5.20	32	0.28	0.636
5.30	163	0.23	0.523
5.40	28	0.32	0.664
5.50	123	0.23	0.549
5.60	25	0.33	0.641
5.70	157	0.24	0.517
5.80	15	0.35	0.672
5.90	114	0.25	0.560
6.00	26	0.33	0.634
6.10	179	0.26	0.512
6.20	55	0.36	0.659
6.30	140	0.26	0.541
6.40	37	0.34	0.631
6.50	197	0.26	0.514
6.60	26	0.37	0.644
6.70	161	0.28	0.521
6.80	9	0.36	0.637
6.90	166	0.30	0.518
7.00	23	0.37	0.658
7.10	133	0.29	0.533
7.20	41	0.37	0.641
7.30	185	0.31	0.524
7.40	43	0.40	0.633
7.50	171	0.32	0.515
7.60	38	0.41	0.633
7.70	197	0.33	0.514
7.80	37	0.41	0.635
7.90	182	0.32	0.519
8.00	63	0.39	0.619
8.10	196	0.32	0.502
8.20	32	0.43	0.642
8.30	152	0.34	0.522
8.40	60	0.41	0.622
8.50	187	0.33	0.509
8.60	53	0.43	0.628
8.70	197	0.33	0.507
8.80	47	0.46	0.651
8.90	140	0.37	0.534
9.00	53	0.42	0.624
9.10	188	0.33	0.509
9.20	51	0.43	0.646
9.30	173	0.33	0.526
9.40	39	0.45	0.623
9.50	194	0.35	0.504
9.60	60	0.48	0.667
9.70	122	0.41	0.555
9.80	75	0.40	0.595
9.90	243	0.35	0.495
10.00	30	0.47	0.644
10.10	154	0.38	0.519
10.20	47	0.42	0.621
10.30	183	0.32	0.518
10.40	52	0.42	0.630
10.50	185	0.33	0.507
10.60	31	0.44	0.643
10.70	163	0.33	0.523
10.80	32	0.40	0.618
10.90	205	0.34	0.501
11.00	47	0.43	0.638
11.10	185	0.34	0.517
11.20	19	0.45	0.640
11.30	140	0.38	0.524
11.40	33	0.44	0.638
11.50	142	0.34	0.521
11.60	51	0.47	0.658
11.70	128	0.41	0.540
11.80	40	0.44	0.612
11.90	223	0.37	0.493
12.00	30	0.48	0.665
12.10	117	0.42	0.550
12.20	36	0.44	0.605
12.30	246	0.37	0.489
12.40	55	0.47	0.652
12.50	147	0.39	0.535
12.60	56	0.46	0.624
12.70	200	0.36	0.507
12.80	74	0.45	0.636
12.90	169	0.35	0.521
13.00	54	0.44	0.619
13.10	207	0.35	0.501
13.20	53	0.47	0.642
13.30	167	0.37	0.520
13.40	45	0.46	0.628
13.50	204	0.35	0.505
13.60	67	0.46	0.634
13.70	187	0.36	0.516
13.80	64	0.43	0.624
13.90	197	0.34	0.504
14.00	54	0.48	0.633
14.10	165	0.39	0.517
14.20	55	0.49	0.613
14.30	201	0.41	0.497
14.40	58	0.51	0.647
14.50	163	0.44	0.529
14.60	59	0.48	0.610
14.70	205	0.41	0.499
14.80	50	0.54	0.628
14.90	179	0.45	0.514
15.00	65	0.52	0.608
15.10	207	0.43	0.492
15.20	59	0.54	0.629
15.30	172	0.45	0.517
15.40	72	0.53	0.606
15.50	219	0.43	0.494
15.60	45	0.55	0.629
15.70	186	0.46	0.518
15.80	73	0.53	0.604
15.90	214	0.44	0.496
16.00	65	0.55	0.628
16.10	185	0.46	0.513
16.20	57	0.54	0.610
16.30	201	0.45	0.498
16.40	72	0.53	0.632
16.50	175	0.43	0.516
16.60	50	0.52	0.600
16.70	201	0.44	0.493
16.80	45	0.55	0.616
16.90	184	0.47	0.510
17.00	45	0.55	0.619
17.10	178	0.47	0.502
17.20	44	0.57	0.620
17.30	182	0.50	0.510
17.40	60	0.55	0.607
17.50	188	0.47	0.505
17.60	60	0.56	0.614
17.70	217	0.48	0.498
17.80	59	0.56	0.620
17.90	194	0.48	0.512
18.00	95	0.54	0.605
18.10	216	0.48	0.509
18.20	258	0.52	0.494
18.30	279	0.52	0.490
18.40	275	0.52	0.490
18.50	277	0.52	0.489
18.60	285	0.52	0.489
18.70	273	0.52	0.489
18.80	281	0.52	0.489
18.90	281	0.52	0.489

Experiment #4 begin 
- freq    = 5.00 Hz
- rho_int = 1000.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	274	0.11	0.503
1.20	23	0.14	0.677
1.30	164	0.11	0.539
1.40	30	0.15	0.654
1.50	184	0.11	0.523
1.60	9	0.14	0.664
1.70	157	0.11	0.540
1.80	17	0.14	0.669
1.90	137	0.10	0.545
2.00	34	0.16	0.652
2.10	188	0.11	0.528
2.20	45	0.17	0.679
2.30	129	0.11	0.554
2.40	13	0.13	0.670
2.50	135	0.11	0.549
2.60	36	0.11	0.668
2.70	143	0.10	0.551
2.80	34	0.14	0.672
2.90	155	0.10	0.550
3.00	25	0.15	0.657
3.10	175	0.11	0.530
3.20	24	0.17	0.683
3.30	130	0.10	0.562
3.40	17	0.17	0.656
3.50	167	0.12	0.524
3.60	37	0.19	0.700
3.70	73	0.12	0.574
3.80	45	0.17	0.670
3.90	175	0.11	0.544
4.00	43	0.15	0.681
4.10	147	0.11	0.553
4.20	36	0.12	0.666
4.30	151	0.10	0.539
4.40	17	0.13	0.666
4.50	145	0.11	0.542
4.60	11	0.14	0.656
4.70	153	0.11	0.537
4.80	32	0.14	0.657
4.90	177	0.11	0.536
5.00	31	0.13	0.655
5.10	169	0.11	0.538
5.20	26	0.16	0.645
5.30	212	0.11	0.516
5.40	23	0.15	0.671
5.50	158	0.10	0.551
5.60	23	0.15	0.655
5.70	184	0.11	0.528
5.80	42	0.13	0.677
5.90	155	0.10	0.556
6.00	36	0.14	0.663
6.10	166	0.10	0.537
6.20	20	0.14	0.676
6.30	134	0.10	0.556
6.40	29	0.13	0.660
6.50	168	0.11	0.539
6.60	32	0.14	0.685
6.70	133	0.09	0.569
6.80	36	0.14	0.649
6.90	189	0.11	0.528
7.00	31	0.14	0.690
7.10	118	0.10	0.565
7.20	32	0.14	0.646
7.30	177	0.10	0.525
7.40	24	0.14	0.688
7.50	118	0.10	0.574
7.60	40	0.13	0.644
7.70	209	0.11	0.518
7.80	28	0.14	0.712
7.90	83	0.09	0.597
8.00	31	0.14	0.641
8.10	201	0.10	0.528
8.20	18	0.15	0.695
8.30	128	0.09	0.577
8.40	31	0.13	0.648
8.50	213	0.10	0.527
8.60	17	0.16	0.699
8.70	124	0.10	0.574
8.80	45	0.15	0.642
8.90	206	0.11	0.523
9.00	21	0.18	0.692
9.10	105	0.11	0.565
9.20	27	0.18	0.654
9.30	179	0.10	0.531
9.40	21	0.19	0.681
9.50	125	0.11	0.558
9.60	9	0.17	0.654
9.70	169	0.12	0.523
9.80	38	0.16	0.687
9.90	114	0.10	0.569
10.00	41	0.15	0.659
10.10	154	0.11	0.537
10.20	21	0.15	0.697
10.30	102	0.10	0.581
10.40	32	0.14	0.657
10.50	170	0.10	0.541
10.60	27	0.18	0.673
10.70	157	0.11	0.549
10.80	23	0.21	0.670
10.90	165	0.15	0.542
11.00	20	0.24	0.677
11.10	124	0.17	0.546
11.20	46	0.23	0.659
11.30	175	0.18	0.543
11.40	35	0.24	0.654
11.50	188	0.19	0.534
11.60	28	0.26	0.674
11.70	120	0.17	0.551
11.80	32	0.25	0.664
11.90	147	0.18	0.549
12.00	19	0.25	0.669
12.10	133	0.17	0.557
12.20	35	0.24	0.644
12.30	186	0.19	0.531
12.40	24	0.26	0.675
12.50	134	0.16	0.555
12.60	56	0.24	0.641
12.70	211	0.19	0.524
12.80	21	0.26	0.673
12.90	132	0.19	0.558
13.00	28	0.26	0.645
13.10	167	0.20	0.533
13.20	31	0.27	0.659
13.30	164	0.20	0.538
13.40	28	0.27	0.669
13.50	151	0.22	0.558
13.60	27	0.28	0.645
13.70	186	0.24	0.522
13.80	13	0.32	0.690
13.90	103	0.26	0.575
14.00	35	0.31	0.641
14.10	170	0.25	0.532
14.20	28	0.31	0.673
14.30	132	0.23	0.555
14.40	37	0.29	0.637
14.50	192	0.23	0.525
14.60	40	0.32	0.656
14.70	160	0.23	0.540
14.80	31	0.33	0.649
14.90	148	0.25	0.530
15.00	40	0.35	0.656
15.10	154	0.27	0.535
15.20	33	0.34	0.659
15.30	142	0.25	0.546
15.40	34	0.36	0.647
15.50	169	0.27	0.532
15.60	34	0.37	0.659
15.70	144	0.28	0.543
15.80	31	0.39	0.645
15.90	164	0.30	0.529
16.00	50	0.42	0.653
16.10	167	0.30	0.530
16.20	56	0.39	0.628
16.30	189	0.31	0.507
16.40	64	0.40	0.639
16.50	184	0.30	0.515
16.60	52	0.39	0.633
16.70	178	0.31	0.515
16.80	57	0.41	0.631
16.90	203	0.32	0.512
17.00	67	0.39	0.627
17.10	187	0.33	0.513
17.20	57	0.39	0.631
17.30	196	0.33	0.516
17.40	35	0.41	0.645
17.50	153	0.32	0.522
17.60	32	0.39	0.644
17.70	161	0.30	0.534
17.80	32	0.41	0.620
17.90	216	0.35	0.504
18.00	23	0.45	0.636
18.10	175	0.39	0.527
18.20	256	0.43	0.507
18.30	275	0.43	0.507
18.40	278	0.43	0.507
18.50	280	0.44	0.507
18.60	280	0.44	0.506
18.70	277	0.44	0.506
18.80	276	0.44	0.505
18.90	272	0.44	0.505

Experiment #5 begin 
- freq    = 5.00 Hz
- rho_int = 1100.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	273	0.10	0.514
1.20	34	0.13	0.678
1.30	179	0.11	0.546
1.40	34	0.13	0.654
1.50	192	0.10	0.536
1.60	39	0.15	0.673
1.70	179	0.10	0.555
1.80	30	0.15	0.666
1.90	172	0.10	0.543
2.00	33	0.16	0.685
2.10	120	0.11	0.560
2.20	13	0.16	0.682
2.30	126	0.12	0.560
2.40	22	0.17	0.672
2.50	144	0.12	0.547
2.60	17	0.17	0.678
2.70	137	0.12	0.555
2.80	18	0.18	0.682
2.90	117	0.10	0.567
3.00	2	0.17	0.687
3.10	120	0.11	0.562
3.20	34	0.19	0.691
3.30	145	0.13	0.563
3.40	52	0.18	0.676
3.50	158	0.13	0.552
3.60	36	0.18	0.686
3.70	136	0.12	0.568
3.80	46	0.18	0.659
3.90	191	0.10	0.546
4.00	60	0.19	0.676
4.10	162	0.10	0.557
4.20	49	0.16	0.659
4.30	178	0.11	0.541
4.40	63	0.14	0.668
4.50	163	0.11	0.552
4.60	48	0.14	0.670
4.70	159	0.11	0.547
4.80	21	0.13	0.667
4.90	157	0.11	0.543
5.00	18	0.13	0.664
5.10	157	0.11	0.540
5.20	32	0.13	0.667
5.30	168	0.10	0.546
5.40	21	0.17	0.670
5.50	158	0.11	0.545
5.60	22	0.16	0.697
5.70	112	0.10	0.582
5.80	48	0.15	0.656
5.90	196	0.10	0.531
6.00	45	0.16	0.691
6.10	122	0.09	0.574
6.20	51	0.14	0.651
6.30	208	0.10	0.532
6.40	26	0.15	0.690
6.50	129	0.09	0.569
6.60	40	0.11	0.651
6.70	188	0.10	0.534
6.80	38	0.11	0.673
6.90	159	0.10	0.550
7.00	32	0.12	0.672
7.10	157	0.10	0.559
7.20	20	0.14	0.672
7.30	135	0.11	0.552
7.40	24	0.16	0.688
7.50	122	0.11	0.570
7.60	13	0.14	0.678
7.70	125	0.11	0.558
7.80	52	0.16	0.677
7.90	176	0.10	0.558
8.00	41	0.15	0.678
8.10	135	0.11	0.554
8.20	37	0.17	0.674
8.30	152	0.14	0.556
8.40	36	0.20	0.661
8.50	178	0.15	0.538
8.60	25	0.21	0.689
8.70	134	0.17	0.568
8.80	14	0.24	0.668
8.90	159	0.20	0.542
9.00	15	0.26	0.677
9.10	134	0.18	0.548
9.20	39	0.25	0.662
9.30	171	0.19	0.536
9.40	28	0.25	0.667
9.50	139	0.19	0.538
9.60	34	0.24	0.674
9.70	130	0.18	0.552
9.80	43	0.27	0.656
9.90	158	0.21	0.524
10.00	29	0.27	0.681
10.10	107	0.18	0.563
10.20	34	0.25	0.653
10.30	174	0.19	0.529
10.40	45	0.28	0.667
10.50	159	0.20	0.537
10.60	53	0.28	0.651
10.70	198	0.21	0.532
10.80	55	0.28	0.650
10.90	197	0.21	0.527
11.00	25	0.28	0.665
11.10	157	0.20	0.542
11.20	15	0.27	0.656
11.30	164	0.20	0.532
11.40	39	0.28	0.676
11.50	124	0.18	0.559
11.60	24	0.27	0.646
11.70	188	0.21	0.520
11.80	36	0.26	0.681
11.90	132	0.18	0.565
12.00	31	0.26	0.655
12.10	161	0.19	0.530
12.20	28	0.27	0.677
12.30	115	0.19	0.555
12.40	17	0.29	0.659
12.50	155	0.22	0.537
12.60	36	0.31	0.684
12.70	126	0.22	0.560
12.80	13	0.29	0.666
12.90	153	0.24	0.536
13.00	27	0.33	0.682
13.10	119	0.22	0.553
13.20	14	0.31	0.663
13.30	167	0.23	0.542
13.40	19	0.30	0.665
13.50	148	0.23	0.544
13.60	22	0.31	0.650
13.70	153	0.25	0.534
13.80	21	0.33	0.662
13.90	155	0.26	0.539
14.00	38	0.33	0.663
14.10	147	0.25	0.538
14.20	14	0.32	0.659
14.30	143	0.26	0.535
14.40	51	0.35	0.667
14.50	138	0.25	0.550
14.60	40	0.32	0.650
14.70	164	0.25	0.531
14.80	44	0.35	0.665
14.90	148	0.27	0.550
15.00	24	0.32	0.632
15.10	201	0.26	0.517
15.20	31	0.37	0.668
15.30	159	0.27	0.549
15.40	29	0.33	0.644
15.50	175	0.28	0.526
15.60	34	0.36	0.675
15.70	136	0.27	0.555
15.80	60	0.33	0.639
15.90	190	0.26	0.525
16.00	41	0.39	0.673
16.10	142	0.31	0.546
16.20	59	0.39	0.645
16.30	164	0.31	0.529
16.40	50	0.40	0.659
16.50	143	0.32	0.549
16.60	67	0.40	0.633
16.70	188	0.33	0.513
16.80	48	0.47	0.663
16.90	138	0.41	0.552
17.00	65	0.42	0.620
17.10	198	0.34	0.512
17.20	60	0.47	0.653
17.30	152	0.38	0.542
17.40	53	0.44	0.623
17.50	207	0.37	0.510
17.60	61	0.47	0.656
17.70	146	0.41	0.544
17.80	82	0.45	0.616
17.90	222	0.35	0.506
18.00	53	0.49	0.654
18.10	149	0.43	0.545
18.20	253	0.43	0.506
18.30	265	0.43	0.504
18.40	270	0.43	0.504
18.50	266	0.43	0.504
18.60	268	0.43	0.503
18.70	273	0.43	0.503
18.80	269	0.43	0.503
18.90	275	0.43	0.503

Experiment #6 begin 
- freq    = 5.00 Hz
- rho_int = 1200.00 kg/m3
- rho_bed = 700.00 kg/m3

t(s)	cont	z_int	E_pot
1.10	265	0.10	0.523
1.20	29	0.15	0.717
1.30	127	0.10	0.579
1.40	31	0.12	0.657
1.50	197	0.11	0.537
1.60	14	0.11	0.701
1.70	140	0.09	0.582
1.80	40	0.11	0.650
1.90	243	0.11	0.524
2.00	31	0.13	0.719
2.10	115	0.10	0.604
2.20	23	0.13	0.659
2.30	194	0.11	0.530
2.40	16	0.13	0.703
2.50	124	0.10	0.582
2.60	44	0.12	0.657
2.70	177	0.11	0.547
2.80	32	0.16	0.684
2.90	138	0.11	0.559
3.00	25	0.15	0.684
3.10	148	0.10	0.569
3.20	64	0.14	0.656
3.30	204	0.10	0.533
3.40	44	0.14	0.681
3.50	173	0.10	0.565
3.60	42	0.14	0.666
3.70	186	0.10	0.549
3.80	25	0.14	0.671
3.90	158	0.10	0.544
4.00	29	0.17	0.682
4.10	155	0.11	0.560
4.20	25	0.17	0.669
4.30	177	0.11	0.549
4.40	21	0.19	0.675
4.50	149	0.12	0.551
4.60	18	0.19	0.688
4.70	145	0.14	0.567
4.80	37	0.21	0.669
4.90	166	0.16	0.552
5.00	18	0.22	0.679
5.10	150	0.16	0.553
5.20	21	0.23	0.687
5.30	115	0.17	0.575
5.40	20	0.22	0.673
5.50	160	0.19	0.560
5.60	10	0.22	0.687
5.70	128	0.18	0.560
5.80	35	0.25	0.666
5.90	157	0.18	0.546
6.00	34	0.24	0.679
6.10	145	0.19	0.552
6.20	47	0.25	0.660
6.30	181	0.19	0.535
6.40	42	0.25	0.677
6.50	152	0.18	0.556
6.60	43	0.25	0.650
6.70	192	0.20	0.531
6.80	19	0.28	0.669
6.90	155	0.18	0.543
7.00	23	0.27	0.659
7.10	185	0.19	0.535
7.20	35	0.26	0.657
7.30	196	0.20	0.536
7.40	22	0.27	0.655
7.50	194	0.19	0.527
7.60	18	0.28	0.665
7.70	156	0.19	0.540
7.80	32	0.27	0.655
7.90	203	0.19	0.528
8.00	27	0.29	0.670
8.10	159	0.19	0.545
