#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#60,1000,300,100,0.02,0.006,700,820,5,0.006,0.1696,185,0.0905,0.9997,210,0.0748
#61,1000,300,100,0.02,0.006,720,820,5,0.006,0.1695,184,0.0905,0.9196,191,0.0746
#62,1000,300,100,0.02,0.006,740,820,5,0.006,0.1695,185,0.0905,1.0149,202,0.0729
#63,1000,300,100,0.02,0.006,760,820,5,0.006,0.1694,185,0.0905,0.9827,215,0.0755
#64,1000,300,100,0.02,0.006,780,820,5,0.006,0.1694,184,0.0905,1.1726,195,0.0735
#65,1000,300,100,0.02,0.006,800,820,5,0.006,0.1694,185,0.0905,1.1462,198,0.073
#66,1000,300,100,0.02,0.006,820,820,5,0.006,0.1693,185,0.0905,0.9747,190,0.0758
#67,1000,300,100,0.02,0.006,840,820,5,0.006,0.1693,184,0.0905,0.9066,189,0.0749
#68,1000,300,100,0.02,0.006,860,820,5,0.006,0.1693,186,0.0905,1.0527,197,0.0743
#69,1000,300,100,0.02,0.006,880,820,5,0.006,0.1692,184,0.0905,1.0501,202,0.074
#70,1000,300,100,0.02,0.006,700,840,5,0.006,0.1696,185,0.0904,1.2245,200,0.074
#71,1000,300,100,0.02,0.006,720,840,5,0.006,0.1696,185,0.0904,1.0846,216,0.0742
#72,1000,300,100,0.02,0.006,740,840,5,0.006,0.1695,186,0.0904,0.9561,209,0.0749
#73,1000,300,100,0.02,0.006,760,840,5,0.006,0.1695,185,0.0904,0.9351,202,0.0747
#74,1000,300,100,0.02,0.006,780,840,5,0.006,0.1695,186,0.0904,0.9979,190,0.0743
#75,1000,300,100,0.02,0.006,800,840,5,0.006,0.1694,185,0.0904,1.0545,191,0.0755
#76,1000,300,100,0.02,0.006,820,840,5,0.006,0.1694,186,0.0904,1.1649,196,0.0731
#77,1000,300,100,0.02,0.006,840,840,5,0.006,0.1694,186,0.0904,0.9591,200,0.0753
#78,1000,300,100,0.02,0.006,860,840,5,0.006,0.1693,185,0.0904,0.9072,212,0.0758
#79,1000,300,100,0.02,0.006,880,840,5,0.006,0.1693,185,0.0904,1.0533,194,0.0736
#80,1000,300,100,0.02,0.006,700,860,5,0.006,0.1697,185,0.0904,0.8598,214,0.0751
#81,1000,300,100,0.02,0.006,720,860,5,0.006,0.1696,186,0.0904,1.0518,193,0.0768
#82,1000,300,100,0.02,0.006,740,860,5,0.006,0.1696,186,0.0904,1.0118,195,0.0744
#83,1000,300,100,0.02,0.006,760,860,5,0.006,0.1696,186,0.0904,0.6596,203,0.0786
#84,1000,300,100,0.02,0.006,780,860,5,0.006,0.1695,186,0.0904,0.9588,207,0.0739
#85,1000,300,100,0.02,0.006,800,860,5,0.006,0.1695,187,0.0904,1.1113,211,0.0743
#86,1000,300,100,0.02,0.006,820,860,5,0.006,0.1695,186,0.0904,1.1159,199,0.0737
#87,1000,300,100,0.02,0.006,840,860,5,0.006,0.1694,186,0.0904,0.9185,207,0.0742
#88,1000,300,100,0.02,0.006,860,860,5,0.006,0.1694,187,0.0904,1.059,192,0.0746
#89,1000,300,100,0.02,0.006,880,860,5,0.006,0.1693,186,0.0904,1.044,201,0.0731
#90,1000,300,100,0.02,0.006,700,880,5,0.006,0.1698,187,0.0904,1.0398,209,0.0743
#91,1000,300,100,0.02,0.006,720,880,5,0.006,0.1697,187,0.0904,0.9293,208,0.0737
#92,1000,300,100,0.02,0.006,740,880,5,0.006,0.1697,187,0.0904,0.9009,213,0.0752
#93,1000,300,100,0.02,0.006,760,880,5,0.006,0.1696,187,0.0904,0.9985,199,0.074
#94,1000,300,100,0.02,0.006,780,880,5,0.006,0.1696,187,0.0904,0.9684,199,0.0743
#95,1000,300,100,0.02,0.006,800,880,5,0.006,0.1696,187,0.0904,1.0441,217,0.075
#96,1000,300,100,0.02,0.006,820,880,5,0.006,0.1695,187,0.0904,1.0283,212,0.0747
#97,1000,300,100,0.02,0.006,840,880,5,0.006,0.1695,186,0.0904,1.0114,194,0.0754
#98,1000,300,100,0.02,0.006,860,880,5,0.006,0.1695,187,0.0904,1.1977,215,0.075
#99,1000,300,100,0.02,0.006,880,880,5,0.006,0.1694,187,0.0904,1.1405,212,0.0743
