#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,15,0.006,0.169,168,0.0907,0.7834,197,0.075
#1,1000,300,100,0.02,0.006,720,700,15,0.006,0.1689,169,0.0907,0.953,186,0.0752
#2,1000,300,100,0.02,0.006,740,700,15,0.006,0.1689,166,0.0907,0.1658,175,0.0874
#3,1000,300,100,0.02,0.006,760,700,15,0.006,0.1688,166,0.0907,0.1647,173,0.0873
#4,1000,300,100,0.02,0.006,780,700,15,0.006,0.1688,166,0.0907,0.1674,168,0.0886
#5,1000,300,100,0.02,0.006,800,700,15,0.006,0.1687,166,0.0907,0.1548,171,0.0889
#6,1000,300,100,0.02,0.006,820,700,15,0.006,0.1687,168,0.0907,0.1669,165,0.0906
#7,1000,300,100,0.02,0.006,840,700,15,0.006,0.1686,170,0.0907,0.7631,199,0.0749
#8,1000,300,100,0.02,0.006,860,700,15,0.006,0.1686,167,0.0907,0.1667,157,0.0893
#9,1000,300,100,0.02,0.006,880,700,15,0.006,0.1686,166,0.0907,0.6837,193,0.0781
#10,1000,300,100,0.02,0.006,700,720,15,0.006,0.1692,170,0.0906,0.1637,164,0.0888
#11,1000,300,100,0.02,0.006,720,720,15,0.006,0.1691,172,0.0906,0.4105,172,0.0841
#12,1000,300,100,0.02,0.006,740,720,15,0.006,0.1691,172,0.0906,0.2595,181,0.087
#13,1000,300,100,0.02,0.006,760,720,15,0.006,0.169,170,0.0906,0.3063,172,0.0862
#14,1000,300,100,0.02,0.006,780,720,15,0.006,0.169,170,0.0906,0.2841,159,0.0877
#15,1000,300,100,0.02,0.006,800,720,15,0.006,0.1689,172,0.0906,0.167,164,0.0884
#16,1000,300,100,0.02,0.006,820,720,15,0.006,0.1689,172,0.0906,0.1655,168,0.0879
#17,1000,300,100,0.02,0.006,840,720,15,0.006,0.1689,174,0.0906,0.1654,174,0.0881
#18,1000,300,100,0.02,0.006,860,720,15,0.006,0.1688,174,0.0906,0.1568,166,0.089
#19,1000,300,100,0.02,0.006,880,720,15,0.006,0.1688,172,0.0906,0.1613,175,0.0881
#20,1000,300,100,0.02,0.006,700,740,15,0.006,0.1693,170,0.0906,0.5662,173,0.0817
#21,1000,300,100,0.02,0.006,720,740,15,0.006,0.1693,172,0.0906,0.1603,170,0.0901
#22,1000,300,100,0.02,0.006,740,740,15,0.006,0.1692,172,0.0906,0.1549,168,0.0872
#23,1000,300,100,0.02,0.006,760,740,15,0.006,0.1692,172,0.0906,1.1317,180,0.0746
#24,1000,300,100,0.02,0.006,780,740,15,0.006,0.1691,173,0.0906,0.1672,165,0.0887
#25,1000,300,100,0.02,0.006,800,740,15,0.006,0.1691,173,0.0906,0.1676,172,0.088
#26,1000,300,100,0.02,0.006,820,740,15,0.006,0.1691,172,0.0906,0.1406,161,0.0895
#27,1000,300,100,0.02,0.006,840,740,15,0.006,0.169,171,0.0906,0.1589,168,0.0881
#28,1000,300,100,0.02,0.006,860,740,15,0.006,0.169,173,0.0906,0.1667,187,0.0863
#29,1000,300,100,0.02,0.006,880,740,15,0.006,0.1689,172,0.0906,0.1668,168,0.0883
#30,1000,300,100,0.02,0.006,700,760,15,0.006,0.1694,174,0.0905,0.3938,158,0.086
#31,1000,300,100,0.02,0.006,720,760,15,0.006,0.1694,174,0.0905,0.1681,169,0.0876
#32,1000,300,100,0.02,0.006,740,760,15,0.006,0.1693,172,0.0905,0.3239,168,0.0857
#33,1000,300,100,0.02,0.006,760,760,15,0.006,0.1693,173,0.0905,0.5623,173,0.0807
#34,1000,300,100,0.02,0.006,780,760,15,0.006,0.1692,174,0.0905,0.1675,185,0.0871
#35,1000,300,100,0.02,0.006,800,760,15,0.006,0.1692,173,0.0905,0.1661,167,0.0882
#36,1000,300,100,0.02,0.006,820,760,15,0.006,0.1691,173,0.0906,0.1581,164,0.0904
#37,1000,300,100,0.02,0.006,840,760,15,0.006,0.1691,172,0.0906,0.1521,154,0.0897
#38,1000,300,100,0.02,0.006,860,760,15,0.006,0.1691,175,0.0906,0.1667,186,0.0873
#39,1000,300,100,0.02,0.006,880,760,15,0.006,0.169,174,0.0906,0.179,160,0.0884
#40,1000,300,100,0.02,0.006,700,780,15,0.006,0.1695,182,0.0905,0.7658,184,0.0763
#41,1000,300,100,0.02,0.006,720,780,15,0.006,0.1694,182,0.0905,0.1664,159,0.089
#42,1000,300,100,0.02,0.006,740,780,15,0.006,0.1694,181,0.0905,0.1643,175,0.0896
#43,1000,300,100,0.02,0.006,760,780,15,0.006,0.1694,180,0.0905,0.1559,178,0.0893
#44,1000,300,100,0.02,0.006,780,780,15,0.006,0.1693,179,0.0905,0.1671,181,0.0881
#45,1000,300,100,0.02,0.006,800,780,15,0.006,0.1693,176,0.0905,0.4808,165,0.085
#46,1000,300,100,0.02,0.006,820,780,15,0.006,0.1693,180,0.0905,0.1604,161,0.0897
#47,1000,300,100,0.02,0.006,840,780,15,0.006,0.1692,182,0.0905,0.1647,165,0.0897
#48,1000,300,100,0.02,0.006,860,780,15,0.006,0.1692,179,0.0905,0.1574,162,0.0908
#49,1000,300,100,0.02,0.006,880,780,15,0.006,0.1691,182,0.0905,0.1628,176,0.0889
#50,1000,300,100,0.02,0.006,700,800,15,0.006,0.1695,182,0.0905,0.169,178,0.0881
