#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#51,1000,300,100,0.02,0.006,720,800,15,0.006,0.1695,181,0.0905,0.1558,170,0.0884
#52,1000,300,100,0.02,0.006,740,800,15,0.006,0.1694,182,0.0905,0.1529,168,0.0895
#53,1000,300,100,0.02,0.006,760,800,15,0.006,0.1694,183,0.0905,0.1459,174,0.0891
#54,1000,300,100,0.02,0.006,780,800,15,0.006,0.1694,183,0.0905,0.2058,187,0.088
#55,1000,300,100,0.02,0.006,800,800,15,0.006,0.1694,183,0.0905,0.1658,186,0.088
#56,1000,300,100,0.02,0.006,820,800,15,0.006,0.1693,181,0.0905,0.2753,167,0.0865
#57,1000,300,100,0.02,0.006,840,800,15,0.006,0.1693,182,0.0905,0.1472,186,0.0879
#58,1000,300,100,0.02,0.006,860,800,15,0.006,0.1693,181,0.0905,0.4184,178,0.085
#59,1000,300,100,0.02,0.006,880,800,15,0.006,0.1692,182,0.0905,0.1468,200,0.0863
#60,1000,300,100,0.02,0.006,700,820,15,0.006,0.1696,185,0.0905,0.1671,185,0.0867
#61,1000,300,100,0.02,0.006,720,820,15,0.006,0.1695,184,0.0905,0.1606,179,0.0886
#62,1000,300,100,0.02,0.006,740,820,15,0.006,0.1695,185,0.0905,0.1669,171,0.0882
#63,1000,300,100,0.02,0.006,760,820,15,0.006,0.1694,185,0.0905,0.193,193,0.0867
#64,1000,300,100,0.02,0.006,780,820,15,0.006,0.1694,184,0.0905,0.1608,174,0.0895
#65,1000,300,100,0.02,0.006,800,820,15,0.006,0.1694,185,0.0905,0.1659,174,0.0878
#66,1000,300,100,0.02,0.006,820,820,15,0.006,0.1693,185,0.0905,0.1645,188,0.0869
#67,1000,300,100,0.02,0.006,840,820,15,0.006,0.1693,184,0.0905,0.173,188,0.0872
#68,1000,300,100,0.02,0.006,860,820,15,0.006,0.1693,186,0.0905,0.1548,166,0.0904
#69,1000,300,100,0.02,0.006,880,820,15,0.006,0.1692,184,0.0905,0.1633,174,0.0875
#70,1000,300,100,0.02,0.006,700,840,15,0.006,0.1696,185,0.0904,0.3054,166,0.0868
#71,1000,300,100,0.02,0.006,720,840,15,0.006,0.1696,185,0.0904,0.4712,172,0.0835
#72,1000,300,100,0.02,0.006,740,840,15,0.006,0.1695,186,0.0904,0.456,176,0.0847
#73,1000,300,100,0.02,0.006,760,840,15,0.006,0.1695,185,0.0904,0.7261,185,0.0773
#74,1000,300,100,0.02,0.006,780,840,15,0.006,0.1695,186,0.0904,0.3386,172,0.0855
#75,1000,300,100,0.02,0.006,800,840,15,0.006,0.1694,185,0.0904,0.6279,181,0.0799
#76,1000,300,100,0.02,0.006,820,840,15,0.006,0.1694,186,0.0904,0.3777,161,0.0865
#77,1000,300,100,0.02,0.006,840,840,15,0.006,0.1694,186,0.0904,0.3764,202,0.0834
#78,1000,300,100,0.02,0.006,860,840,15,0.006,0.1693,185,0.0904,0.1631,188,0.088
#79,1000,300,100,0.02,0.006,880,840,15,0.006,0.1693,185,0.0904,0.3127,182,0.085
#80,1000,300,100,0.02,0.006,700,860,15,0.006,0.1697,185,0.0904,0.3801,180,0.0838
#81,1000,300,100,0.02,0.006,720,860,15,0.006,0.1696,186,0.0904,0.1627,166,0.0874
#82,1000,300,100,0.02,0.006,740,860,15,0.006,0.1696,186,0.0904,0.1604,173,0.0885
#83,1000,300,100,0.02,0.006,760,860,15,0.006,0.1696,186,0.0904,0.1609,172,0.0891
#84,1000,300,100,0.02,0.006,780,860,15,0.006,0.1695,186,0.0904,0.6392,188,0.0786
#85,1000,300,100,0.02,0.006,800,860,15,0.006,0.1695,187,0.0904,0.1657,176,0.0877
#86,1000,300,100,0.02,0.006,820,860,15,0.006,0.1695,186,0.0904,0.1631,168,0.0888
#87,1000,300,100,0.02,0.006,840,860,15,0.006,0.1694,186,0.0904,0.5207,172,0.0827
#88,1000,300,100,0.02,0.006,860,860,15,0.006,0.1694,187,0.0904,0.168,182,0.0875
#89,1000,300,100,0.02,0.006,880,860,15,0.006,0.1693,186,0.0904,0.1813,179,0.087
#90,1000,300,100,0.02,0.006,700,880,15,0.006,0.1698,187,0.0904,0.1555,172,0.0887
#91,1000,300,100,0.02,0.006,720,880,15,0.006,0.1697,187,0.0904,0.1677,175,0.0878
#92,1000,300,100,0.02,0.006,740,880,15,0.006,0.1697,187,0.0904,0.2886,179,0.0871
#93,1000,300,100,0.02,0.006,760,880,15,0.006,0.1696,187,0.0904,0.4152,187,0.0846
#94,1000,300,100,0.02,0.006,780,880,15,0.006,0.1696,187,0.0904,0.1697,182,0.088
#95,1000,300,100,0.02,0.006,800,880,15,0.006,0.1696,187,0.0904,0.1453,171,0.0883
#96,1000,300,100,0.02,0.006,820,880,15,0.006,0.1695,187,0.0904,0.1634,166,0.0883
#97,1000,300,100,0.02,0.006,840,880,15,0.006,0.1695,186,0.0904,0.1565,159,0.089
#98,1000,300,100,0.02,0.006,860,880,15,0.006,0.1695,187,0.0904,0.1657,183,0.0883
#99,1000,300,100,0.02,0.006,880,880,15,0.006,0.1694,187,0.0904,0.5111,181,0.0825
