#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,10,0.006,0.169,168,0.0907,0.1667,173,0.0918
#1,1000,300,100,0.02,0.006,720,700,10,0.006,0.1689,169,0.0907,0.1457,166,0.0925
#2,1000,300,100,0.02,0.006,740,700,10,0.006,0.1689,166,0.0907,0.9104,185,0.0782
#3,1000,300,100,0.02,0.006,760,700,10,0.006,0.1688,166,0.0907,0.7379,175,0.0818
#4,1000,300,100,0.02,0.006,780,700,10,0.006,0.1688,166,0.0907,0.284,156,0.0916
#5,1000,300,100,0.02,0.006,800,700,10,0.006,0.1687,166,0.0907,0.8011,168,0.0818
#6,1000,300,100,0.02,0.006,820,700,10,0.006,0.1687,168,0.0907,0.6952,185,0.0811
#7,1000,300,100,0.02,0.006,840,700,10,0.006,0.1686,170,0.0907,0.7494,180,0.082
#8,1000,300,100,0.02,0.006,860,700,10,0.006,0.1686,167,0.0907,0.6028,172,0.0844
#9,1000,300,100,0.02,0.006,880,700,10,0.006,0.1686,166,0.0907,0.1559,166,0.0922
#10,1000,300,100,0.02,0.006,700,720,10,0.006,0.1692,170,0.0906,0.973,189,0.077
#11,1000,300,100,0.02,0.006,720,720,10,0.006,0.1691,172,0.0906,0.9643,173,0.0777
#12,1000,300,100,0.02,0.006,740,720,10,0.006,0.1691,172,0.0906,0.6597,169,0.084
#13,1000,300,100,0.02,0.006,760,720,10,0.006,0.169,170,0.0906,0.7148,183,0.0799
#14,1000,300,100,0.02,0.006,780,720,10,0.006,0.169,170,0.0906,0.9308,164,0.0806
#15,1000,300,100,0.02,0.006,800,720,10,0.006,0.1689,172,0.0906,0.6805,170,0.0829
#16,1000,300,100,0.02,0.006,820,720,10,0.006,0.1689,172,0.0906,0.5334,173,0.0846
#17,1000,300,100,0.02,0.006,840,720,10,0.006,0.1689,174,0.0906,0.1696,178,0.0928
#18,1000,300,100,0.02,0.006,860,720,10,0.006,0.1688,174,0.0906,0.6929,178,0.0823
#19,1000,300,100,0.02,0.006,880,720,10,0.006,0.1688,172,0.0906,0.5627,178,0.0831
#20,1000,300,100,0.02,0.006,700,740,10,0.006,0.1693,170,0.0906,0.9991,186,0.0775
#21,1000,300,100,0.02,0.006,720,740,10,0.006,0.1693,172,0.0906,0.9659,185,0.0775
#22,1000,300,100,0.02,0.006,740,740,10,0.006,0.1692,172,0.0906,0.8875,170,0.0816
#23,1000,300,100,0.02,0.006,760,740,10,0.006,0.1692,172,0.0906,0.9071,175,0.0797
#24,1000,300,100,0.02,0.006,780,740,10,0.006,0.1691,173,0.0906,0.8782,184,0.0803
#25,1000,300,100,0.02,0.006,800,740,10,0.006,0.1691,173,0.0906,0.7518,200,0.0788
#26,1000,300,100,0.02,0.006,820,740,10,0.006,0.1691,172,0.0906,1.1729,185,0.0774
#27,1000,300,100,0.02,0.006,840,740,10,0.006,0.169,171,0.0906,0.7981,192,0.0805
#28,1000,300,100,0.02,0.006,860,740,10,0.006,0.169,173,0.0906,0.8125,172,0.0791
#29,1000,300,100,0.02,0.006,880,740,10,0.006,0.1689,172,0.0906,0.6429,174,0.0836
#30,1000,300,100,0.02,0.006,700,760,10,0.006,0.1694,174,0.0905,0.8416,202,0.0788
#31,1000,300,100,0.02,0.006,720,760,10,0.006,0.1694,174,0.0905,0.8189,193,0.0785
#32,1000,300,100,0.02,0.006,740,760,10,0.006,0.1693,172,0.0905,0.7731,166,0.0823
#33,1000,300,100,0.02,0.006,760,760,10,0.006,0.1693,173,0.0905,0.6345,175,0.0833
#34,1000,300,100,0.02,0.006,780,760,10,0.006,0.1692,174,0.0905,0.5328,174,0.0865
#35,1000,300,100,0.02,0.006,800,760,10,0.006,0.1692,173,0.0905,1.0346,175,0.0784
#36,1000,300,100,0.02,0.006,820,760,10,0.006,0.1691,173,0.0906,1.1373,198,0.0767
#37,1000,300,100,0.02,0.006,840,760,10,0.006,0.1691,172,0.0906,1.0091,208,0.0783
#38,1000,300,100,0.02,0.006,860,760,10,0.006,0.1691,175,0.0906,0.1636,182,0.0907
#39,1000,300,100,0.02,0.006,880,760,10,0.006,0.169,174,0.0906,0.438,175,0.0852
#40,1000,300,100,0.02,0.006,700,780,10,0.006,0.1695,182,0.0905,0.6072,206,0.0813
#41,1000,300,100,0.02,0.006,720,780,10,0.006,0.1694,182,0.0905,0.8858,182,0.0804
#42,1000,300,100,0.02,0.006,740,780,10,0.006,0.1694,181,0.0905,0.7587,183,0.0787
#43,1000,300,100,0.02,0.006,760,780,10,0.006,0.1694,180,0.0905,0.3972,174,0.089
#44,1000,300,100,0.02,0.006,780,780,10,0.006,0.1693,179,0.0905,0.2862,171,0.0914
#45,1000,300,100,0.02,0.006,800,780,10,0.006,0.1693,176,0.0905,0.4899,168,0.088
#46,1000,300,100,0.02,0.006,820,780,10,0.006,0.1693,180,0.0905,0.5701,177,0.0843
#47,1000,300,100,0.02,0.006,840,780,10,0.006,0.1692,182,0.0905,0.1621,166,0.0927
#48,1000,300,100,0.02,0.006,860,780,10,0.006,0.1692,179,0.0905,0.833,202,0.0777
#49,1000,300,100,0.02,0.006,880,780,10,0.006,0.1691,182,0.0905,0.6033,180,0.0855
#50,1000,300,100,0.02,0.006,700,800,10,0.006,0.1695,182,0.0905,0.6774,181,0.0811
#51,1000,300,100,0.02,0.006,720,800,10,0.006,0.1695,181,0.0905,0.9145,201,0.0783
#52,1000,300,100,0.02,0.006,740,800,10,0.006,0.1694,182,0.0905,0.7467,187,0.0789
#53,1000,300,100,0.02,0.006,760,800,10,0.006,0.1694,183,0.0905,0.6778,187,0.0812
#54,1000,300,100,0.02,0.006,780,800,10,0.006,0.1694,183,0.0905,0.7613,207,0.08
#55,1000,300,100,0.02,0.006,800,800,10,0.006,0.1694,183,0.0905,0.271,156,0.0922
#56,1000,300,100,0.02,0.006,820,800,10,0.006,0.1693,181,0.0905,0.9028,197,0.0783
#57,1000,300,100,0.02,0.006,840,800,10,0.006,0.1693,182,0.0905,0.164,171,0.0922
#58,1000,300,100,0.02,0.006,860,800,10,0.006,0.1693,181,0.0905,0.3089,176,0.0891
#59,1000,300,100,0.02,0.006,880,800,10,0.006,0.1692,182,0.0905,0.8345,191,0.0794
#60,1000,300,100,0.02,0.006,700,820,10,0.006,0.1696,185,0.0905,0.832,205,0.0793
#61,1000,300,100,0.02,0.006,720,820,10,0.006,0.1695,184,0.0905,0.9197,167,0.0804
#62,1000,300,100,0.02,0.006,740,820,10,0.006,0.1695,185,0.0905,0.4543,180,0.0857
#63,1000,300,100,0.02,0.006,760,820,10,0.006,0.1694,185,0.0905,1.041,198,0.0769
#64,1000,300,100,0.02,0.006,780,820,10,0.006,0.1694,184,0.0905,0.3217,176,0.0894
#65,1000,300,100,0.02,0.006,800,820,10,0.006,0.1694,185,0.0905,0.7051,171,0.0826
#66,1000,300,100,0.02,0.006,820,820,10,0.006,0.1693,185,0.0905,0.1724,183,0.091
#67,1000,300,100,0.02,0.006,840,820,10,0.006,0.1693,184,0.0905,0.5063,186,0.0853
#68,1000,300,100,0.02,0.006,860,820,10,0.006,0.1693,186,0.0905,0.1702,163,0.0919
#69,1000,300,100,0.02,0.006,880,820,10,0.006,0.1692,184,0.0905,0.1673,177,0.0912
#70,1000,300,100,0.02,0.006,700,840,10,0.006,0.1696,185,0.0904,1.0019,164,0.0818
#71,1000,300,100,0.02,0.006,720,840,10,0.006,0.1696,185,0.0904,0.1806,184,0.0912
#72,1000,300,100,0.02,0.006,740,840,10,0.006,0.1695,186,0.0904,0.8512,201,0.0805
#73,1000,300,100,0.02,0.006,760,840,10,0.006,0.1695,185,0.0904,0.4368,177,0.0868
#74,1000,300,100,0.02,0.006,780,840,10,0.006,0.1695,186,0.0904,0.7734,204,0.0802
#75,1000,300,100,0.02,0.006,800,840,10,0.006,0.1694,185,0.0904,0.709,206,0.0798
#76,1000,300,100,0.02,0.006,820,840,10,0.006,0.1694,186,0.0904,0.5292,177,0.0858
