#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,10,0.006,0.1438,168,0.0927,0.1595,174,0.091
#1,1000,300,100,0.02,0.006,720,700,10,0.006,0.1437,172,0.0927,0.1937,185,0.0896
#2,1000,300,100,0.02,0.006,740,700,10,0.006,0.1437,172,0.0927,0.1671,169,0.0922
#3,1000,300,100,0.02,0.006,760,700,10,0.006,0.1436,168,0.0927,0.5169,187,0.083
#4,1000,300,100,0.02,0.006,780,700,10,0.006,0.1436,170,0.0927,0.1904,191,0.0903
#5,1000,300,100,0.02,0.006,800,700,10,0.006,0.1436,170,0.0927,0.1592,174,0.0903
#6,1000,300,100,0.02,0.006,820,700,10,0.006,0.1435,168,0.0927,0.4114,169,0.0865
#7,1000,300,100,0.02,0.006,840,700,10,0.006,0.1435,169,0.0927,0.1626,171,0.0913
#8,1000,300,100,0.02,0.006,860,700,10,0.006,0.1435,169,0.0927,0.56,180,0.0836
#9,1000,300,100,0.02,0.006,880,700,10,0.006,0.1435,168,0.0927,0.1632,182,0.0902
#10,1000,300,100,0.02,0.006,700,720,10,0.006,0.1438,172,0.0927,0.1634,169,0.0916
#11,1000,300,100,0.02,0.006,720,720,10,0.006,0.1437,172,0.0927,0.1604,191,0.09
#12,1000,300,100,0.02,0.006,740,720,10,0.006,0.1437,170,0.0927,0.1547,198,0.0892
#13,1000,300,100,0.02,0.006,760,720,10,0.006,0.1437,172,0.0927,0.1467,178,0.0904
#14,1000,300,100,0.02,0.006,780,720,10,0.006,0.1436,171,0.0927,0.442,167,0.0856
#15,1000,300,100,0.02,0.006,800,720,10,0.006,0.1436,172,0.0927,0.1577,190,0.0915
#16,1000,300,100,0.02,0.006,820,720,10,0.006,0.1436,172,0.0927,0.1641,174,0.0907
#17,1000,300,100,0.02,0.006,840,720,10,0.006,0.1435,171,0.0927,0.1506,181,0.0906
#18,1000,300,100,0.02,0.006,860,720,10,0.006,0.1435,170,0.0927,0.1558,180,0.0909
#19,1000,300,100,0.02,0.006,880,720,10,0.006,0.1435,171,0.0926,0.1584,173,0.0927
#20,1000,300,100,0.02,0.006,700,740,10,0.006,0.1438,175,0.0926,0.1545,182,0.0905
#21,1000,300,100,0.02,0.006,720,740,10,0.006,0.1437,174,0.0926,0.1455,182,0.0907
#22,1000,300,100,0.02,0.006,740,740,10,0.006,0.1437,172,0.0926,0.1646,173,0.0918
#23,1000,300,100,0.02,0.006,760,740,10,0.006,0.1437,173,0.0926,0.1622,187,0.0915
#24,1000,300,100,0.02,0.006,780,740,10,0.006,0.1436,174,0.0926,0.4622,177,0.0844
#25,1000,300,100,0.02,0.006,800,740,10,0.006,0.1436,172,0.0926,0.1655,202,0.0895
#26,1000,300,100,0.02,0.006,820,740,10,0.006,0.1436,171,0.0926,0.6419,165,0.0846
#27,1000,300,100,0.02,0.006,840,740,10,0.006,0.1435,170,0.0926,0.1653,190,0.0899
#28,1000,300,100,0.02,0.006,860,740,10,0.006,0.1435,173,0.0926,0.1666,179,0.0921
#29,1000,300,100,0.02,0.006,880,740,10,0.006,0.1435,175,0.0926,0.1618,183,0.0926
#30,1000,300,100,0.02,0.006,700,760,10,0.006,0.1438,175,0.0926,0.3137,184,0.0881
#31,1000,300,100,0.02,0.006,720,760,10,0.006,0.1438,174,0.0926,0.1641,171,0.0902
#32,1000,300,100,0.02,0.006,740,760,10,0.006,0.1437,173,0.0926,0.1907,189,0.0892
#33,1000,300,100,0.02,0.006,760,760,10,0.006,0.1437,174,0.0926,0.4666,186,0.0846
#34,1000,300,100,0.02,0.006,780,760,10,0.006,0.1437,175,0.0926,0.6961,178,0.0793
#35,1000,300,100,0.02,0.006,800,760,10,0.006,0.1436,175,0.0926,0.5208,172,0.0846
#36,1000,300,100,0.02,0.006,820,760,10,0.006,0.1436,174,0.0926,0.1716,199,0.0888
#37,1000,300,100,0.02,0.006,840,760,10,0.006,0.1436,173,0.0926,0.1621,191,0.0896
#38,1000,300,100,0.02,0.006,860,760,10,0.006,0.1435,175,0.0926,0.1447,189,0.0911
#39,1000,300,100,0.02,0.006,880,760,10,0.006,0.1435,174,0.0926,0.1666,180,0.0908
#40,1000,300,100,0.02,0.006,700,780,10,0.006,0.1438,174,0.0925,0.1453,188,0.0906
#41,1000,300,100,0.02,0.006,720,780,10,0.006,0.1438,174,0.0925,0.2804,187,0.088
#42,1000,300,100,0.02,0.006,740,780,10,0.006,0.1438,174,0.0925,0.4842,160,0.0867
#43,1000,300,100,0.02,0.006,760,780,10,0.006,0.1437,174,0.0925,0.6632,191,0.0811
#44,1000,300,100,0.02,0.006,780,780,10,0.006,0.1437,174,0.0925,0.6762,185,0.0819
#45,1000,300,100,0.02,0.006,800,780,10,0.006,0.1437,174,0.0925,0.1571,183,0.0919
#46,1000,300,100,0.02,0.006,820,780,10,0.006,0.1436,174,0.0925,0.1593,199,0.0896
#47,1000,300,100,0.02,0.006,840,780,10,0.006,0.1436,174,0.0925,0.1595,177,0.091
#48,1000,300,100,0.02,0.006,860,780,10,0.006,0.1436,174,0.0925,0.1581,177,0.092
#49,1000,300,100,0.02,0.006,880,780,10,0.006,0.1436,174,0.0925,0.1373,168,0.0922
#50,1000,300,100,0.02,0.006,700,800,10,0.006,0.1438,175,0.0925,0.1633,187,0.0913
#51,1000,300,100,0.02,0.006,720,800,10,0.006,0.1438,175,0.0925,0.1583,192,0.0899
#52,1000,300,100,0.02,0.006,740,800,10,0.006,0.1438,175,0.0925,0.1849,188,0.0888
#53,1000,300,100,0.02,0.006,760,800,10,0.006,0.1437,175,0.0925,0.1877,190,0.0892
#54,1000,300,100,0.02,0.006,780,800,10,0.006,0.1437,175,0.0925,0.1653,176,0.09
#55,1000,300,100,0.02,0.006,800,800,10,0.006,0.1437,175,0.0925,0.6792,196,0.0817
#56,1000,300,100,0.02,0.006,820,800,10,0.006,0.1436,175,0.0925,0.1615,183,0.0921
#57,1000,300,100,0.02,0.006,840,800,10,0.006,0.1436,175,0.0925,0.1801,192,0.0893
#58,1000,300,100,0.02,0.006,860,800,10,0.006,0.1436,175,0.0925,0.168,195,0.0892
#59,1000,300,100,0.02,0.006,880,800,10,0.006,0.1436,174,0.0925,0.1494,199,0.09
#60,1000,300,100,0.02,0.006,700,820,10,0.006,0.1439,175,0.0925,0.1902,204,0.0889
#61,1000,300,100,0.02,0.006,720,820,10,0.006,0.1438,175,0.0925,0.1631,192,0.0912
#62,1000,300,100,0.02,0.006,740,820,10,0.006,0.1438,175,0.0925,0.1581,180,0.0916
#63,1000,300,100,0.02,0.006,760,820,10,0.006,0.1438,175,0.0925,0.5548,175,0.0849
#64,1000,300,100,0.02,0.006,780,820,10,0.006,0.1437,174,0.0925,0.1643,181,0.09
#65,1000,300,100,0.02,0.006,800,820,10,0.006,0.1437,174,0.0925,0.1658,202,0.09
