#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#66,1000,300,100,0.02,0.006,820,820,10,0.006,0.1437,175,0.0925,0.3992,174,0.0889
#67,1000,300,100,0.02,0.006,840,820,10,0.006,0.1436,174,0.0925,0.1652,198,0.0905
#68,1000,300,100,0.02,0.006,860,820,10,0.006,0.1436,174,0.0925,0.1486,203,0.0898
#69,1000,300,100,0.02,0.006,880,820,10,0.006,0.1436,174,0.0925,0.177,181,0.0903
#70,1000,300,100,0.02,0.006,700,840,10,0.006,0.1439,176,0.0925,0.1639,188,0.0923
#71,1000,300,100,0.02,0.006,720,840,10,0.006,0.1438,176,0.0925,0.1567,182,0.0916
#72,1000,300,100,0.02,0.006,740,840,10,0.006,0.1438,176,0.0925,0.1883,203,0.0889
#73,1000,300,100,0.02,0.006,760,840,10,0.006,0.1438,176,0.0925,0.1571,197,0.0904
#74,1000,300,100,0.02,0.006,780,840,10,0.006,0.1437,176,0.0924,0.1616,183,0.0904
#75,1000,300,100,0.02,0.006,800,840,10,0.006,0.1437,176,0.0924,0.1539,187,0.0901
#76,1000,300,100,0.02,0.006,820,840,10,0.006,0.1437,175,0.0924,0.1778,192,0.0901
#77,1000,300,100,0.02,0.006,840,840,10,0.006,0.1436,175,0.0924,0.1619,186,0.093
#78,1000,300,100,0.02,0.006,860,840,10,0.006,0.1436,177,0.0924,0.1681,188,0.0899
#79,1000,300,100,0.02,0.006,880,840,10,0.006,0.1436,176,0.0924,0.1615,205,0.0896
#80,1000,300,100,0.02,0.006,700,860,10,0.006,0.1439,176,0.0924,0.1689,197,0.0901
#81,1000,300,100,0.02,0.006,720,860,10,0.006,0.1439,176,0.0924,0.5739,196,0.0825
#82,1000,300,100,0.02,0.006,740,860,10,0.006,0.1438,176,0.0924,0.159,204,0.0908
#83,1000,300,100,0.02,0.006,760,860,10,0.006,0.1438,176,0.0924,0.151,195,0.0897
#84,1000,300,100,0.02,0.006,780,860,10,0.006,0.1438,176,0.0924,0.1519,187,0.0899
#85,1000,300,100,0.02,0.006,800,860,10,0.006,0.1437,176,0.0924,0.1473,183,0.0931
#86,1000,300,100,0.02,0.006,820,860,10,0.006,0.1437,176,0.0924,0.171,199,0.0894
#87,1000,300,100,0.02,0.006,840,860,10,0.006,0.1437,176,0.0924,0.1775,191,0.0889
#88,1000,300,100,0.02,0.006,860,860,10,0.006,0.1436,176,0.0924,0.1553,206,0.09
#89,1000,300,100,0.02,0.006,880,860,10,0.006,0.1436,176,0.0924,0.1846,208,0.0886
#90,1000,300,100,0.02,0.006,700,880,10,0.006,0.1439,175,0.0924,0.1607,184,0.0913
#91,1000,300,100,0.02,0.006,720,880,10,0.006,0.1439,175,0.0924,0.1559,194,0.0913
#92,1000,300,100,0.02,0.006,740,880,10,0.006,0.1438,175,0.0924,0.3133,171,0.0882
#93,1000,300,100,0.02,0.006,760,880,10,0.006,0.1438,175,0.0924,0.1658,181,0.0906
#94,1000,300,100,0.02,0.006,780,880,10,0.006,0.1438,176,0.0924,0.1608,188,0.0888
#95,1000,300,100,0.02,0.006,800,880,10,0.006,0.1437,176,0.0924,0.1594,180,0.0919
#96,1000,300,100,0.02,0.006,820,880,10,0.006,0.1437,176,0.0924,0.1567,202,0.0902
#97,1000,300,100,0.02,0.006,840,880,10,0.006,0.1437,176,0.0924,0.1568,179,0.0919
#98,1000,300,100,0.02,0.006,860,880,10,0.006,0.1436,176,0.0924,0.16,190,0.0926
#99,1000,300,100,0.02,0.006,880,880,10,0.006,0.1436,176,0.0924,0.1585,199,0.0904
