#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#29,1000,300,100,0.02,0.006,880,740,15,0.006,0.1435,175,0.0926,0.1607,190,0.0859
#30,1000,300,100,0.02,0.006,700,760,15,0.006,0.1438,175,0.0926,0.4575,177,0.082
#31,1000,300,100,0.02,0.006,720,760,15,0.006,0.1438,174,0.0926,0.1405,167,0.0915
#32,1000,300,100,0.02,0.006,740,760,15,0.006,0.1437,173,0.0926,0.1579,182,0.0866
#33,1000,300,100,0.02,0.006,760,760,15,0.006,0.1437,174,0.0926,0.1666,171,0.0868
#34,1000,300,100,0.02,0.006,780,760,15,0.006,0.1437,175,0.0926,0.1658,188,0.0865
#35,1000,300,100,0.02,0.006,800,760,15,0.006,0.1436,175,0.0926,0.1678,190,0.0862
#36,1000,300,100,0.02,0.006,820,760,15,0.006,0.1436,174,0.0926,0.1589,171,0.0878
#37,1000,300,100,0.02,0.006,840,760,15,0.006,0.1436,173,0.0926,0.1624,166,0.0903
#38,1000,300,100,0.02,0.006,860,760,15,0.006,0.1435,175,0.0926,0.1558,171,0.0865
#39,1000,300,100,0.02,0.006,880,760,15,0.006,0.1435,174,0.0926,0.162,187,0.0867
#40,1000,300,100,0.02,0.006,700,780,15,0.006,0.1438,174,0.0925,0.1605,188,0.0859
#41,1000,300,100,0.02,0.006,720,780,15,0.006,0.1438,174,0.0925,0.1618,183,0.0882
#42,1000,300,100,0.02,0.006,740,780,15,0.006,0.1438,174,0.0925,0.166,176,0.087
#43,1000,300,100,0.02,0.006,760,780,15,0.006,0.1437,174,0.0925,0.1467,199,0.0865
#44,1000,300,100,0.02,0.006,780,780,15,0.006,0.1437,174,0.0925,0.4626,169,0.0841
#45,1000,300,100,0.02,0.006,800,780,15,0.006,0.1437,174,0.0925,0.1444,171,0.0879
#46,1000,300,100,0.02,0.006,820,780,15,0.006,0.1436,174,0.0925,0.1653,178,0.0885
#47,1000,300,100,0.02,0.006,840,780,15,0.006,0.1436,174,0.0925,0.1579,183,0.0879
#48,1000,300,100,0.02,0.006,860,780,15,0.006,0.1436,174,0.0925,0.1666,195,0.086
#49,1000,300,100,0.02,0.006,880,780,15,0.006,0.1436,174,0.0925,0.1646,178,0.0876
#50,1000,300,100,0.02,0.006,700,800,15,0.006,0.1438,175,0.0925,0.1463,166,0.089
#51,1000,300,100,0.02,0.006,720,800,15,0.006,0.1438,175,0.0925,0.192,202,0.0849
#52,1000,300,100,0.02,0.006,740,800,15,0.006,0.1438,175,0.0925,0.1494,182,0.0873
#53,1000,300,100,0.02,0.006,760,800,15,0.006,0.1437,175,0.0925,0.1719,173,0.0854
#54,1000,300,100,0.02,0.006,780,800,15,0.006,0.1437,175,0.0925,0.1531,190,0.0877
#55,1000,300,100,0.02,0.006,800,800,15,0.006,0.1437,175,0.0925,0.1629,172,0.0901
#56,1000,300,100,0.02,0.006,820,800,15,0.006,0.1436,175,0.0925,0.1643,187,0.0882
#57,1000,300,100,0.02,0.006,840,800,15,0.006,0.1436,175,0.0925,0.1889,201,0.085
#58,1000,300,100,0.02,0.006,860,800,15,0.006,0.1436,175,0.0925,0.1395,191,0.0861
#59,1000,300,100,0.02,0.006,880,800,15,0.006,0.1436,174,0.0925,0.1617,180,0.0894
#60,1000,300,100,0.02,0.006,700,820,15,0.006,0.1439,175,0.0925,0.1628,173,0.0879
#61,1000,300,100,0.02,0.006,720,820,15,0.006,0.1438,175,0.0925,0.1457,164,0.0897
#62,1000,300,100,0.02,0.006,740,820,15,0.006,0.1438,175,0.0925,0.1715,172,0.0882
#63,1000,300,100,0.02,0.006,760,820,15,0.006,0.1438,175,0.0925,0.1468,189,0.0879
#64,1000,300,100,0.02,0.006,780,820,15,0.006,0.1437,174,0.0925,0.1462,201,0.0872
#65,1000,300,100,0.02,0.006,800,820,15,0.006,0.1437,174,0.0925,0.185,198,0.086
#66,1000,300,100,0.02,0.006,820,820,15,0.006,0.1437,175,0.0925,0.1659,186,0.0867
#67,1000,300,100,0.02,0.006,840,820,15,0.006,0.1436,174,0.0925,0.1674,188,0.0894
#68,1000,300,100,0.02,0.006,860,820,15,0.006,0.1436,174,0.0925,0.165,180,0.0891
#69,1000,300,100,0.02,0.006,880,820,15,0.006,0.1436,174,0.0925,0.1718,172,0.0854
#70,1000,300,100,0.02,0.006,700,840,15,0.006,0.1439,176,0.0925,0.1442,188,0.0877
#71,1000,300,100,0.02,0.006,720,840,15,0.006,0.1438,176,0.0925,0.1673,181,0.0884
#72,1000,300,100,0.02,0.006,740,840,15,0.006,0.1438,176,0.0925,0.1564,191,0.0872
#73,1000,300,100,0.02,0.006,760,840,15,0.006,0.1438,176,0.0925,0.2765,190,0.0846
#74,1000,300,100,0.02,0.006,780,840,15,0.006,0.1437,176,0.0924,0.6897,169,0.0791
#75,1000,300,100,0.02,0.006,800,840,15,0.006,0.1437,176,0.0924,0.1501,193,0.087
#76,1000,300,100,0.02,0.006,820,840,15,0.006,0.1437,175,0.0924,0.1567,194,0.0866
#77,1000,300,100,0.02,0.006,840,840,15,0.006,0.1436,175,0.0924,0.3961,197,0.0833
#78,1000,300,100,0.02,0.006,860,840,15,0.006,0.1436,177,0.0924,0.1663,206,0.0859
#79,1000,300,100,0.02,0.006,880,840,15,0.006,0.1436,176,0.0924,0.1643,179,0.0873
#80,1000,300,100,0.02,0.006,700,860,15,0.006,0.1439,176,0.0924,0.1575,180,0.0885
#81,1000,300,100,0.02,0.006,720,860,15,0.006,0.1439,176,0.0924,0.1623,198,0.0878
#82,1000,300,100,0.02,0.006,740,860,15,0.006,0.1438,176,0.0924,0.1762,194,0.086
#83,1000,300,100,0.02,0.006,760,860,15,0.006,0.1438,176,0.0924,0.1651,213,0.0857
#84,1000,300,100,0.02,0.006,780,860,15,0.006,0.1438,176,0.0924,0.1642,204,0.0858
#85,1000,300,100,0.02,0.006,800,860,15,0.006,0.1437,176,0.0924,0.2975,169,0.087
#86,1000,300,100,0.02,0.006,820,860,15,0.006,0.1437,176,0.0924,0.148,190,0.0878
#87,1000,300,100,0.02,0.006,840,860,15,0.006,0.1437,176,0.0924,0.1966,197,0.086
#88,1000,300,100,0.02,0.006,860,860,15,0.006,0.1436,176,0.0924,0.1656,193,0.0874
#89,1000,300,100,0.02,0.006,880,860,15,0.006,0.1436,176,0.0924,0.173,196,0.0849
#90,1000,300,100,0.02,0.006,700,880,15,0.006,0.1439,175,0.0924,0.1793,205,0.0851
#91,1000,300,100,0.02,0.006,720,880,15,0.006,0.1439,175,0.0924,0.1542,194,0.087
#92,1000,300,100,0.02,0.006,740,880,15,0.006,0.1438,175,0.0924,0.1593,184,0.0898
#93,1000,300,100,0.02,0.006,760,880,15,0.006,0.1438,175,0.0924,0.1672,177,0.0885
#94,1000,300,100,0.02,0.006,780,880,15,0.006,0.1438,176,0.0924,0.1653,180,0.0883
#95,1000,300,100,0.02,0.006,800,880,15,0.006,0.1437,176,0.0924,0.1584,206,0.0852
#96,1000,300,100,0.02,0.006,820,880,15,0.006,0.1437,176,0.0924,0.1518,217,0.0857
#97,1000,300,100,0.02,0.006,840,880,15,0.006,0.1437,176,0.0924,0.1549,194,0.0874
#98,1000,300,100,0.02,0.006,860,880,15,0.006,0.1436,176,0.0924,0.1652,180,0.0886
#99,1000,300,100,0.02,0.006,880,880,15,0.006,0.1436,176,0.0924,0.147,179,0.0887
