#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,15,0.006,0.1438,168,0.0927,0.1594,189,0.086
#1,1000,300,100,0.02,0.006,720,700,15,0.006,0.1437,172,0.0927,0.1446,182,0.0866
#2,1000,300,100,0.02,0.006,740,700,15,0.006,0.1437,172,0.0927,0.1654,176,0.0871
#3,1000,300,100,0.02,0.006,760,700,15,0.006,0.1436,168,0.0927,0.165,185,0.0854
#4,1000,300,100,0.02,0.006,780,700,15,0.006,0.1436,170,0.0927,0.1627,173,0.0894
#5,1000,300,100,0.02,0.006,800,700,15,0.006,0.1436,170,0.0927,0.1336,182,0.0869
#6,1000,300,100,0.02,0.006,820,700,15,0.006,0.1435,168,0.0927,0.1655,165,0.0882
#7,1000,300,100,0.02,0.006,840,700,15,0.006,0.1435,169,0.0927,0.1587,175,0.0879
#8,1000,300,100,0.02,0.006,860,700,15,0.006,0.1435,169,0.0927,0.1458,187,0.0868
#9,1000,300,100,0.02,0.006,880,700,15,0.006,0.1435,168,0.0927,0.1582,177,0.0875
#10,1000,300,100,0.02,0.006,700,720,15,0.006,0.1438,172,0.0927,0.1628,193,0.0862
#11,1000,300,100,0.02,0.006,720,720,15,0.006,0.1437,172,0.0927,0.1512,184,0.0868
#12,1000,300,100,0.02,0.006,740,720,15,0.006,0.1437,170,0.0927,0.1607,166,0.0883
#13,1000,300,100,0.02,0.006,760,720,15,0.006,0.1437,172,0.0927,0.1632,194,0.0867
#14,1000,300,100,0.02,0.006,780,720,15,0.006,0.1436,171,0.0927,0.1495,176,0.0881
#15,1000,300,100,0.02,0.006,800,720,15,0.006,0.1436,172,0.0927,0.1889,184,0.085
#16,1000,300,100,0.02,0.006,820,720,15,0.006,0.1436,172,0.0927,0.1574,185,0.0878
#17,1000,300,100,0.02,0.006,840,720,15,0.006,0.1435,171,0.0927,0.1688,180,0.0861
#18,1000,300,100,0.02,0.006,860,720,15,0.006,0.1435,170,0.0927,0.1657,169,0.0887
#19,1000,300,100,0.02,0.006,880,720,15,0.006,0.1435,171,0.0926,0.1456,187,0.0875
#20,1000,300,100,0.02,0.006,700,740,15,0.006,0.1438,175,0.0926,0.1592,177,0.0872
#21,1000,300,100,0.02,0.006,720,740,15,0.006,0.1437,174,0.0926,0.1612,180,0.0877
#22,1000,300,100,0.02,0.006,740,740,15,0.006,0.1437,172,0.0926,0.1651,182,0.0875
#23,1000,300,100,0.02,0.006,760,740,15,0.006,0.1437,173,0.0926,0.2037,189,0.0853
#24,1000,300,100,0.02,0.006,780,740,15,0.006,0.1436,174,0.0926,0.1431,169,0.0915
#25,1000,300,100,0.02,0.006,800,740,15,0.006,0.1436,172,0.0926,0.1586,169,0.0881
#26,1000,300,100,0.02,0.006,820,740,15,0.006,0.1436,171,0.0926,0.1565,165,0.0891
#27,1000,300,100,0.02,0.006,840,740,15,0.006,0.1435,170,0.0926,0.1581,188,0.0877
#28,1000,300,100,0.02,0.006,860,740,15,0.006,0.1435,173,0.0926,0.1456,190,0.0866
