#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#60,1000,300,100,0.02,0.006,700,820,5,0.006,0.1439,175,0.0925,0.4157,200,0.0821
#61,1000,300,100,0.02,0.006,720,820,5,0.006,0.1438,175,0.0925,0.6463,179,0.0829
#62,1000,300,100,0.02,0.006,740,820,5,0.006,0.1438,175,0.0925,0.154,190,0.0869
#63,1000,300,100,0.02,0.006,760,820,5,0.006,0.1438,175,0.0925,0.1767,176,0.087
#64,1000,300,100,0.02,0.006,780,820,5,0.006,0.1437,174,0.0925,0.1623,188,0.0873
#65,1000,300,100,0.02,0.006,800,820,5,0.006,0.1437,174,0.0925,0.1638,202,0.0877
#66,1000,300,100,0.02,0.006,820,820,5,0.006,0.1437,175,0.0925,0.7483,191,0.0758
#67,1000,300,100,0.02,0.006,840,820,5,0.006,0.1436,174,0.0925,0.1649,183,0.0883
#68,1000,300,100,0.02,0.006,860,820,5,0.006,0.1436,174,0.0925,0.1594,196,0.0873
#69,1000,300,100,0.02,0.006,880,820,5,0.006,0.1436,174,0.0925,0.1721,188,0.0863
#70,1000,300,100,0.02,0.006,700,840,5,0.006,0.1439,176,0.0925,0.1758,201,0.087
#71,1000,300,100,0.02,0.006,720,840,5,0.006,0.1438,176,0.0925,0.1712,186,0.0868
#72,1000,300,100,0.02,0.006,740,840,5,0.006,0.1438,176,0.0925,0.1882,186,0.0872
#73,1000,300,100,0.02,0.006,760,840,5,0.006,0.1438,176,0.0925,0.4796,184,0.0838
#74,1000,300,100,0.02,0.006,780,840,5,0.006,0.1437,176,0.0924,0.1571,193,0.087
#75,1000,300,100,0.02,0.006,800,840,5,0.006,0.1437,176,0.0924,0.1979,201,0.086
#76,1000,300,100,0.02,0.006,820,840,5,0.006,0.1437,175,0.0924,0.165,196,0.0881
#77,1000,300,100,0.02,0.006,840,840,5,0.006,0.1436,175,0.0924,0.1716,202,0.0863
#78,1000,300,100,0.02,0.006,860,840,5,0.006,0.1436,177,0.0924,0.4782,196,0.082
#79,1000,300,100,0.02,0.006,880,840,5,0.006,0.1436,176,0.0924,0.1509,188,0.0872
#80,1000,300,100,0.02,0.006,700,860,5,0.006,0.1439,176,0.0924,0.1625,192,0.0867
#81,1000,300,100,0.02,0.006,720,860,5,0.006,0.1439,176,0.0924,0.1495,190,0.0893
#82,1000,300,100,0.02,0.006,740,860,5,0.006,0.1438,176,0.0924,0.1953,205,0.0863
#83,1000,300,100,0.02,0.006,760,860,5,0.006,0.1438,176,0.0924,0.1701,189,0.0869
#84,1000,300,100,0.02,0.006,780,860,5,0.006,0.1438,176,0.0924,0.1912,203,0.0865
#85,1000,300,100,0.02,0.006,800,860,5,0.006,0.1437,176,0.0924,0.1838,196,0.0878
#86,1000,300,100,0.02,0.006,820,860,5,0.006,0.1437,176,0.0924,0.1604,206,0.0863
#87,1000,300,100,0.02,0.006,840,860,5,0.006,0.1437,176,0.0924,0.1643,196,0.0879
#88,1000,300,100,0.02,0.006,860,860,5,0.006,0.1436,176,0.0924,0.201,201,0.0866
#89,1000,300,100,0.02,0.006,880,860,5,0.006,0.1436,176,0.0924,0.1711,190,0.0867
#90,1000,300,100,0.02,0.006,700,880,5,0.006,0.1439,175,0.0924,0.1822,205,0.0873
#91,1000,300,100,0.02,0.006,720,880,5,0.006,0.1439,175,0.0924,0.1613,202,0.0865
#92,1000,300,100,0.02,0.006,740,880,5,0.006,0.1438,175,0.0924,0.1917,203,0.0862
#93,1000,300,100,0.02,0.006,760,880,5,0.006,0.1438,175,0.0924,0.1861,201,0.0862
#94,1000,300,100,0.02,0.006,780,880,5,0.006,0.1438,176,0.0924,0.1864,210,0.0861
#95,1000,300,100,0.02,0.006,800,880,5,0.006,0.1437,176,0.0924,0.159,194,0.0872
#96,1000,300,100,0.02,0.006,820,880,5,0.006,0.1437,176,0.0924,0.9192,201,0.0762
#97,1000,300,100,0.02,0.006,840,880,5,0.006,0.1437,176,0.0924,0.1873,213,0.0863
#98,1000,300,100,0.02,0.006,860,880,5,0.006,0.1436,176,0.0924,0.1715,197,0.0863
#99,1000,300,100,0.02,0.006,880,880,5,0.006,0.1436,176,0.0924,0.1795,193,0.0874
