#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#46,1000,300,100,0.02,0.006,820,780,5,0.006,0.1741,186,0.0906,0.9112,190,0.0745
#47,1000,300,100,0.02,0.006,840,780,5,0.006,0.174,186,0.0906,0.4252,176,0.0834
#48,1000,300,100,0.02,0.006,860,780,5,0.006,0.174,186,0.0906,1.0104,199,0.0752
#49,1000,300,100,0.02,0.006,880,780,5,0.006,0.1739,186,0.0906,1.0074,202,0.0745
#50,1000,300,100,0.02,0.006,700,800,5,0.006,0.1743,187,0.0906,1.1832,202,0.0736
#51,1000,300,100,0.02,0.006,720,800,5,0.006,0.1743,187,0.0906,1.0272,206,0.0756
#52,1000,300,100,0.02,0.006,740,800,5,0.006,0.1742,187,0.0906,0.8859,201,0.0751
#53,1000,300,100,0.02,0.006,760,800,5,0.006,0.1742,187,0.0906,1.0621,213,0.0746
#54,1000,300,100,0.02,0.006,780,800,5,0.006,0.1742,187,0.0906,1.0608,187,0.0741
#55,1000,300,100,0.02,0.006,800,800,5,0.006,0.1741,187,0.0906,1.1917,192,0.0743
#56,1000,300,100,0.02,0.006,820,800,5,0.006,0.1741,187,0.0906,0.9182,194,0.0745
#57,1000,300,100,0.02,0.006,840,800,5,0.006,0.1741,187,0.0906,0.7917,209,0.0757
#58,1000,300,100,0.02,0.006,860,800,5,0.006,0.174,187,0.0906,0.8079,188,0.0754
#59,1000,300,100,0.02,0.006,880,800,5,0.006,0.174,187,0.0906,0.8107,191,0.0777
#60,1000,300,100,0.02,0.006,700,820,5,0.006,0.1744,187,0.0905,0.9963,211,0.0748
#61,1000,300,100,0.02,0.006,720,820,5,0.006,0.1743,187,0.0905,0.969,205,0.0746
#62,1000,300,100,0.02,0.006,740,820,5,0.006,0.1743,187,0.0905,0.9972,200,0.0752
#63,1000,300,100,0.02,0.006,760,820,5,0.006,0.1742,187,0.0905,1.1255,208,0.0743
#64,1000,300,100,0.02,0.006,780,820,5,0.006,0.1742,187,0.0905,0.8901,189,0.0746
#65,1000,300,100,0.02,0.006,800,820,5,0.006,0.1742,187,0.0905,1.0872,192,0.074
#66,1000,300,100,0.02,0.006,820,820,5,0.006,0.1741,187,0.0905,0.8532,187,0.0754
#67,1000,300,100,0.02,0.006,840,820,5,0.006,0.1741,187,0.0905,1.1658,190,0.0733
#68,1000,300,100,0.02,0.006,860,820,5,0.006,0.174,187,0.0905,0.6303,176,0.0791
#69,1000,300,100,0.02,0.006,880,820,5,0.006,0.174,187,0.0905,0.4823,183,0.0814
#70,1000,300,100,0.02,0.006,700,840,5,0.006,0.1744,187,0.0905,0.9921,191,0.0736
#71,1000,300,100,0.02,0.006,720,840,5,0.006,0.1744,187,0.0905,1.1986,205,0.0723
#72,1000,300,100,0.02,0.006,740,840,5,0.006,0.1743,187,0.0905,1.0519,202,0.0747
#73,1000,300,100,0.02,0.006,760,840,5,0.006,0.1743,187,0.0905,1.0476,214,0.0748
#74,1000,300,100,0.02,0.006,780,840,5,0.006,0.1742,187,0.0905,0.4762,198,0.0825
#75,1000,300,100,0.02,0.006,800,840,5,0.006,0.1742,187,0.0905,1.0093,213,0.076
#76,1000,300,100,0.02,0.006,820,840,5,0.006,0.1742,187,0.0905,1.1283,199,0.0752
#77,1000,300,100,0.02,0.006,840,840,5,0.006,0.1741,187,0.0905,0.9439,217,0.0746
#78,1000,300,100,0.02,0.006,860,840,5,0.006,0.1741,187,0.0905,0.957,197,0.0737
#79,1000,300,100,0.02,0.006,880,840,5,0.006,0.174,187,0.0905,1.0261,199,0.0743
#80,1000,300,100,0.02,0.006,700,860,5,0.006,0.1744,187,0.0905,1.1713,221,0.074
#81,1000,300,100,0.02,0.006,720,860,5,0.006,0.1744,187,0.0905,0.9392,217,0.0747
#82,1000,300,100,0.02,0.006,740,860,5,0.006,0.1744,187,0.0905,1.1158,187,0.076
#83,1000,300,100,0.02,0.006,760,860,5,0.006,0.1743,187,0.0905,1.2077,219,0.0743
#84,1000,300,100,0.02,0.006,780,860,5,0.006,0.1743,187,0.0905,1.1741,198,0.0753
#85,1000,300,100,0.02,0.006,800,860,5,0.006,0.1742,187,0.0905,0.9863,194,0.0736
#86,1000,300,100,0.02,0.006,820,860,5,0.006,0.1742,187,0.0905,0.851,202,0.075
#87,1000,300,100,0.02,0.006,840,860,5,0.006,0.1742,187,0.0905,1.1695,202,0.0762
#88,1000,300,100,0.02,0.006,860,860,5,0.006,0.1741,187,0.0905,0.9393,195,0.0757
#89,1000,300,100,0.02,0.006,880,860,5,0.006,0.1741,187,0.0905,0.6611,195,0.0798
#90,1000,300,100,0.02,0.006,700,880,5,0.006,0.1745,187,0.0905,1.2803,218,0.0744
#91,1000,300,100,0.02,0.006,720,880,5,0.006,0.1744,187,0.0905,1.0239,219,0.0756
#92,1000,300,100,0.02,0.006,740,880,5,0.006,0.1744,187,0.0905,1.1634,208,0.0729
#93,1000,300,100,0.02,0.006,760,880,5,0.006,0.1743,187,0.0905,1.0768,223,0.0742
#94,1000,300,100,0.02,0.006,780,880,5,0.006,0.1743,187,0.0905,1.0146,199,0.0765
#95,1000,300,100,0.02,0.006,800,880,5,0.006,0.1743,187,0.0905,1.1399,201,0.0743
#96,1000,300,100,0.02,0.006,820,880,5,0.006,0.1742,187,0.0905,1.0417,201,0.0753
#97,1000,300,100,0.02,0.006,840,880,5,0.006,0.1742,187,0.0905,1.036,200,0.0735
#98,1000,300,100,0.02,0.006,860,880,5,0.006,0.1742,187,0.0905,1.0012,195,0.0758
#99,1000,300,100,0.02,0.006,880,880,5,0.006,0.1741,187,0.0905,0.9794,223,0.0754
