#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#0,1000,300,100,0.02,0.006,700,700,5,0.006,0.1742,180,0.0907,1.1206,210,0.0744
#1,1000,300,100,0.02,0.006,720,700,5,0.006,0.1741,178,0.0907,0.9188,205,0.0745
#2,1000,300,100,0.02,0.006,740,700,5,0.006,0.1741,179,0.0907,1.041,187,0.0741
#3,1000,300,100,0.02,0.006,760,700,5,0.006,0.174,178,0.0907,0.6591,185,0.0794
#4,1000,300,100,0.02,0.006,780,700,5,0.006,0.174,178,0.0907,0.7976,193,0.0761
#5,1000,300,100,0.02,0.006,800,700,5,0.006,0.174,178,0.0907,1.0594,193,0.0744
#6,1000,300,100,0.02,0.006,820,700,5,0.006,0.1739,176,0.0907,0.7335,174,0.0786
#7,1000,300,100,0.02,0.006,840,700,5,0.006,0.1739,178,0.0907,0.9815,189,0.0751
#8,1000,300,100,0.02,0.006,860,700,5,0.006,0.1739,179,0.0907,0.7781,188,0.0779
#9,1000,300,100,0.02,0.006,880,700,5,0.006,0.1738,179,0.0907,1.008,201,0.075
#10,1000,300,100,0.02,0.006,700,720,5,0.006,0.1742,182,0.0907,0.9236,187,0.0749
#11,1000,300,100,0.02,0.006,720,720,5,0.006,0.1741,179,0.0907,0.5556,183,0.0809
#12,1000,300,100,0.02,0.006,740,720,5,0.006,0.1741,181,0.0907,0.8187,184,0.0766
#13,1000,300,100,0.02,0.006,760,720,5,0.006,0.1741,181,0.0907,0.8124,173,0.078
#14,1000,300,100,0.02,0.006,780,720,5,0.006,0.174,181,0.0907,0.7343,188,0.0779
#15,1000,300,100,0.02,0.006,800,720,5,0.006,0.174,180,0.0907,0.8523,176,0.0753
#16,1000,300,100,0.02,0.006,820,720,5,0.006,0.174,180,0.0907,0.4759,181,0.0844
#17,1000,300,100,0.02,0.006,840,720,5,0.006,0.1739,178,0.0907,0.7199,172,0.0798
#18,1000,300,100,0.02,0.006,860,720,5,0.006,0.1739,179,0.0907,0.9813,180,0.0749
#19,1000,300,100,0.02,0.006,880,720,5,0.006,0.1738,179,0.0907,0.903,196,0.0752
#20,1000,300,100,0.02,0.006,700,740,5,0.006,0.1742,182,0.0906,1.0399,191,0.0739
#21,1000,300,100,0.02,0.006,720,740,5,0.006,0.1742,182,0.0906,1.2752,185,0.0731
#22,1000,300,100,0.02,0.006,740,740,5,0.006,0.1741,182,0.0906,0.9763,190,0.0756
#23,1000,300,100,0.02,0.006,760,740,5,0.006,0.1741,182,0.0906,0.8428,184,0.0761
#24,1000,300,100,0.02,0.006,780,740,5,0.006,0.1741,183,0.0906,0.9758,204,0.0753
#25,1000,300,100,0.02,0.006,800,740,5,0.006,0.174,182,0.0906,0.9589,200,0.0748
#26,1000,300,100,0.02,0.006,820,740,5,0.006,0.174,182,0.0906,0.95,208,0.0753
#27,1000,300,100,0.02,0.006,840,740,5,0.006,0.174,182,0.0906,0.7912,204,0.0769
#28,1000,300,100,0.02,0.006,860,740,5,0.006,0.1739,182,0.0906,1.0561,173,0.0749
#29,1000,300,100,0.02,0.006,880,740,5,0.006,0.1739,181,0.0906,1.0154,189,0.0766
#30,1000,300,100,0.02,0.006,700,760,5,0.006,0.1742,185,0.0906,0.9163,193,0.076
#31,1000,300,100,0.02,0.006,720,760,5,0.006,0.1742,186,0.0906,0.6111,188,0.0799
#32,1000,300,100,0.02,0.006,740,760,5,0.006,0.1742,185,0.0906,1.0445,192,0.075
#33,1000,300,100,0.02,0.006,760,760,5,0.006,0.1741,185,0.0906,1.1738,208,0.0741
#34,1000,300,100,0.02,0.006,780,760,5,0.006,0.1741,185,0.0906,1.1561,191,0.0737
#35,1000,300,100,0.02,0.006,800,760,5,0.006,0.1741,185,0.0906,0.9956,172,0.0754
#36,1000,300,100,0.02,0.006,820,760,5,0.006,0.174,186,0.0906,0.9479,183,0.0744
#37,1000,300,100,0.02,0.006,840,760,5,0.006,0.174,186,0.0906,0.9553,194,0.0762
#38,1000,300,100,0.02,0.006,860,760,5,0.006,0.1739,186,0.0906,0.9637,194,0.0736
#39,1000,300,100,0.02,0.006,880,760,5,0.006,0.1739,186,0.0906,1.0492,186,0.0737
#40,1000,300,100,0.02,0.006,700,780,5,0.006,0.1743,186,0.0906,0.9752,204,0.0746
#41,1000,300,100,0.02,0.006,720,780,5,0.006,0.1742,186,0.0906,0.9273,199,0.0746
#42,1000,300,100,0.02,0.006,740,780,5,0.006,0.1742,186,0.0906,1.0819,197,0.0759
#43,1000,300,100,0.02,0.006,760,780,5,0.006,0.1742,186,0.0906,0.8865,179,0.0751
#44,1000,300,100,0.02,0.006,780,780,5,0.006,0.1741,186,0.0906,1.0179,206,0.0745
#45,1000,300,100,0.02,0.006,800,780,5,0.006,0.1741,186,0.0906,0.9076,181,0.0742
