#exp,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot
,,,,,,,,,,,,,,,
#60,1000,300,100,0.02,0.006,700,820,10,0.006,0.1744,187,0.0905,0.1546,180,0.0921
#61,1000,300,100,0.02,0.006,720,820,10,0.006,0.1743,187,0.0905,0.311,173,0.0895
#62,1000,300,100,0.02,0.006,740,820,10,0.006,0.1743,187,0.0905,0.2896,171,0.0899
#63,1000,300,100,0.02,0.006,760,820,10,0.006,0.1742,187,0.0905,0.8166,177,0.0812
#64,1000,300,100,0.02,0.006,780,820,10,0.006,0.1742,187,0.0905,0.4881,176,0.086
#65,1000,300,100,0.02,0.006,800,820,10,0.006,0.1742,187,0.0905,0.6644,173,0.0817
#66,1000,300,100,0.02,0.006,820,820,10,0.006,0.1741,187,0.0905,1.0383,185,0.0807
#67,1000,300,100,0.02,0.006,840,820,10,0.006,0.1741,187,0.0905,0.162,186,0.0914
#68,1000,300,100,0.02,0.006,860,820,10,0.006,0.174,187,0.0905,0.6725,188,0.0817
#69,1000,300,100,0.02,0.006,880,820,10,0.006,0.174,187,0.0905,0.1803,178,0.0914
#70,1000,300,100,0.02,0.006,700,840,10,0.006,0.1744,187,0.0905,0.1569,189,0.092
#71,1000,300,100,0.02,0.006,720,840,10,0.006,0.1744,187,0.0905,0.1684,184,0.0912
#72,1000,300,100,0.02,0.006,740,840,10,0.006,0.1743,187,0.0905,0.345,152,0.0907
#73,1000,300,100,0.02,0.006,760,840,10,0.006,0.1743,187,0.0905,0.7765,189,0.0789
#74,1000,300,100,0.02,0.006,780,840,10,0.006,0.1742,187,0.0905,0.6775,195,0.079
#75,1000,300,100,0.02,0.006,800,840,10,0.006,0.1742,187,0.0905,1.0961,218,0.0766
#76,1000,300,100,0.02,0.006,820,840,10,0.006,0.1742,187,0.0905,0.2796,168,0.0911
#77,1000,300,100,0.02,0.006,840,840,10,0.006,0.1741,187,0.0905,0.173,176,0.0908
#78,1000,300,100,0.02,0.006,860,840,10,0.006,0.1741,187,0.0905,0.1599,181,0.0922
#79,1000,300,100,0.02,0.006,880,840,10,0.006,0.174,187,0.0905,0.1561,174,0.0929
#80,1000,300,100,0.02,0.006,700,860,10,0.006,0.1744,187,0.0905,0.1584,183,0.0923
#81,1000,300,100,0.02,0.006,720,860,10,0.006,0.1744,187,0.0905,0.1526,173,0.0918
#82,1000,300,100,0.02,0.006,740,860,10,0.006,0.1744,187,0.0905,0.1618,183,0.0917
#83,1000,300,100,0.02,0.006,760,860,10,0.006,0.1743,187,0.0905,0.1695,186,0.0914
#84,1000,300,100,0.02,0.006,780,860,10,0.006,0.1743,187,0.0905,1.0481,195,0.0796
#85,1000,300,100,0.02,0.006,800,860,10,0.006,0.1742,187,0.0905,0.4355,166,0.089
#86,1000,300,100,0.02,0.006,820,860,10,0.006,0.1742,187,0.0905,0.5781,174,0.0843
#87,1000,300,100,0.02,0.006,840,860,10,0.006,0.1742,187,0.0905,0.1517,185,0.092
#88,1000,300,100,0.02,0.006,860,860,10,0.006,0.1741,187,0.0905,0.3103,172,0.0914
#89,1000,300,100,0.02,0.006,880,860,10,0.006,0.1741,187,0.0905,0.4862,186,0.0863
#90,1000,300,100,0.02,0.006,700,880,10,0.006,0.1745,187,0.0905,0.7902,194,0.0781
#91,1000,300,100,0.02,0.006,720,880,10,0.006,0.1744,187,0.0905,0.9828,199,0.0767
#92,1000,300,100,0.02,0.006,740,880,10,0.006,0.1744,187,0.0905,0.488,165,0.0878
#93,1000,300,100,0.02,0.006,760,880,10,0.006,0.1743,187,0.0905,0.1632,179,0.0925
#94,1000,300,100,0.02,0.006,780,880,10,0.006,0.1743,187,0.0905,0.5559,189,0.0833
#95,1000,300,100,0.02,0.006,800,880,10,0.006,0.1743,187,0.0905,0.9414,198,0.077
#96,1000,300,100,0.02,0.006,820,880,10,0.006,0.1742,187,0.0905,0.5233,182,0.0865
#97,1000,300,100,0.02,0.006,840,880,10,0.006,0.1742,187,0.0905,0.154,168,0.093
#98,1000,300,100,0.02,0.006,860,880,10,0.006,0.1742,187,0.0905,0.4145,180,0.087
#99,1000,300,100,0.02,0.006,880,880,10,0.006,0.1741,187,0.0905,0.1584,182,0.091
