,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
44,44,1065,349,156,0.0147,0.004,708.51,1141.92,39.83,0.007956,50.82,0.16899999999999998,218,0.064,0.9253,200,0.0287,A
45,45,1065,349,156,0.0147,0.004,791.04,1141.92,39.83,0.007956,50.82,0.16899999999999998,218,0.064,0.9253,200,0.0287,A
46,46,1958,320,109,0.0134,0.0047,835.52,1022.84,20.78,0.01,14.31,0.1662,81,0.059000000000000004,0.9229999999999999,92,0.0624,A
47,47,1958,320,109,0.0134,0.0047,791.04,1022.84,20.78,0.01,14.31,0.1662,81,0.059000000000000004,0.9229999999999999,92,0.0624,A
48,48,1865,303,117,0.0132,0.0045,737.93,1179.46,25.22,0.01,21.32,0.1647,121,0.059000000000000004,0.9206,105,0.0311,A
49,49,1865,303,117,0.0132,0.0045,791.04,1179.46,25.22,0.01,21.32,0.1647,121,0.059000000000000004,0.9206,105,0.0311,A
50,50,1459,367,166,0.0136,0.0044,707.82,1127.68,21.5,0.01,13.54,0.1252,180,0.079,0.9158,195,0.0778,A
51,51,1362,314,133,0.0148,0.0047,832.65,1045.99,21.66,0.008195979,15.49,0.1465,181,0.075,0.914,182,0.0371,A
52,52,1362,314,133,0.0148,0.0047,791.04,1045.99,21.66,0.008195979,15.49,0.1465,181,0.075,0.914,182,0.0371,A
53,53,1834,353,113,0.0124,0.0046,804.97,1119.56,36.64,0.01,37.89,0.1365,105,0.061,0.9128,95,0.0395,A
54,54,1834,353,113,0.0124,0.0046,791.04,1119.56,36.64,0.01,37.89,0.1365,105,0.061,0.9128,95,0.0395,A
55,55,1108,340,116,0.0132,0.0045,797.87,1181.81,30.22,0.01,25.01,0.1609,173,0.0596,0.9116,194,0.0322,A
56,56,1108,340,116,0.0132,0.0045,791.04,1181.81,30.22,0.01,25.01,0.1609,173,0.0596,0.9116,194,0.0322,A
57,57,1370,396,102,0.0133,0.0043,757.71,1112.62,31.6,0.007042693,28.33,0.1872,79,0.0496,0.9102,111,0.0619,A
58,58,1370,396,102,0.0133,0.0043,791.04,1112.62,31.6,0.007042693,28.33,0.1872,79,0.0496,0.9102,111,0.0619,A
59,59,1987,318,154,0.0124,0.0048,897.33,1096.44,36.41,0.008104239000000001,43.28,0.0857,129,0.084,0.902,128,0.0918,A
60,60,1987,318,154,0.0124,0.0048,791.04,1096.44,36.41,0.008104239000000001,43.28,0.0857,129,0.084,0.902,128,0.0918,A
