,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
185,185,1979,310,114,0.0136,0.0054,717.69,1178.24,43.63,0.007455283,57.17,0.1089,146,0.0812,0.7218,162,0.0879,A
186,186,1979,310,114,0.0136,0.0054,791.04,1178.24,43.63,0.007455283,57.17,0.1089,146,0.0812,0.7218,162,0.0879,A
187,187,1436,316,122,0.0139,0.005,823.5,1122.03,41.19,0.01,55.95,0.1197,181,0.077,0.7178,175,0.0616,A
188,188,1436,316,122,0.0139,0.005,791.04,1122.03,41.19,0.01,55.95,0.1197,181,0.077,0.7178,175,0.0616,A
189,189,1601,393,124,0.0128,0.0056,858.82,1113.82,18.17,0.01,10.03,0.0749,151,0.0956,0.7094,161,0.1137,A
190,190,1497,304,128,0.015,0.0043,708.57,1039.73,43.39,0.01,61.2,0.1952,130,0.0608,0.7039,126,0.0234,A
191,191,1497,304,128,0.015,0.0043,791.04,1039.73,43.39,0.01,61.2,0.1952,130,0.0608,0.7039,126,0.0234,A
192,192,1915,375,147,0.0125,0.0042,792.76,1156.14,49.85,0.006674865,66.82,0.1242,95,0.063,0.7014,67,0.0476,A
193,193,1915,375,147,0.0125,0.0042,791.04,1156.14,49.85,0.006674865,66.82,0.1242,95,0.063,0.7014,67,0.0476,A
194,194,1868,325,185,0.0125,0.0043,858.9,1116.07,19.29,0.01,10.63,0.1065,81,0.0825,0.7002,123,0.048,A
195,195,1868,325,185,0.0125,0.0043,791.04,1116.07,19.29,0.01,10.63,0.1065,81,0.0825,0.7002,123,0.048,A
196,196,1870,379,175,0.012,0.0051,771.9,1007.02,23.54,0.01,16.43,0.0674,178,0.1075,0.6952,152,0.107,A
197,197,1870,379,175,0.012,0.0051,791.04,1007.02,23.54,0.01,16.43,0.0674,178,0.1075,0.6952,152,0.107,A
198,198,1778,361,101,0.0148,0.0047,884.58,1195.39,28.32,0.0065276430000000005,21.09,0.1699,108,0.0581,0.6924,103,0.0524,A
199,199,1778,361,101,0.0148,0.0047,791.04,1195.39,28.32,0.0065276430000000005,21.09,0.1699,108,0.0581,0.6924,103,0.0524,A
200,200,1868,357,124,0.0127,0.006,880.22,1036.69,10.45,0.007933397,3.49,0.0654,180,0.1065,0.6893,171,0.1153,A
201,201,1868,357,124,0.0127,0.006,791.04,1036.69,10.45,0.007933397,3.49,0.0654,180,0.1065,0.6893,171,0.1153,A
202,202,1499,308,163,0.0144,0.005,784.75,1096.34,20.79,0.00780507,13.59,0.1057,226,0.0938,0.6818,210,0.1161,A
203,203,1499,308,163,0.0144,0.005,791.04,1096.34,20.79,0.00780507,13.59,0.1057,226,0.0938,0.6818,210,0.1161,A
204,204,1924,354,136,0.0127,0.0054,794.01,1107.18,12.09,0.01,4.42,0.0818,166,0.0958,0.6815,189,0.0952,A
205,205,1924,354,136,0.0127,0.0054,791.04,1107.18,12.09,0.01,4.42,0.0818,166,0.0958,0.6815,189,0.0952,A
206,206,1581,371,189,0.0122,0.0044,758.1,1176.19,45.19,0.01,63.08,0.0938,163,0.0883,0.6766,183,0.0975,A
207,207,1353,338,116,0.0122,0.0049,839.72,1093.56,21.31,0.01,14.95,0.1056,155,0.0716,0.67,186,0.0408,A
208,208,1236,318,145,0.0139,0.0042,723.18,1006.77,38.62,0.01,39.41,0.1627,178,0.0643,0.6698,175,0.0782,A
209,209,1236,318,145,0.0139,0.0042,791.04,1006.77,38.62,0.01,39.41,0.1627,178,0.0643,0.6698,175,0.0782,A
210,210,1277,396,198,0.0145,0.0047,775.85,1082.65,23.62,0.01,16.72,0.0997,255,0.1041,0.6641,243,0.0693,B
211,211,1758,390,105,0.0132,0.0049,825.47,1021.8,26.24,0.01,21.42,0.1394,99,0.0652,0.6639,90,0.0874,B
212,212,1758,390,105,0.0132,0.0049,791.04,1021.8,26.24,0.01,21.42,0.1394,99,0.0652,0.6639,90,0.0874,B
213,213,1301,316,186,0.0124,0.0047,822.69,1089.06,19.51,0.008425861,12.92,0.0859,260,0.0968,0.659,283,0.1185,B
214,214,1301,316,186,0.0124,0.0047,791.04,1089.06,19.51,0.008425861,12.92,0.0859,260,0.0968,0.659,283,0.1185,B
215,215,1535,303,107,0.0137,0.0041,794.05,1182.17,42.6,0.01,53.13,0.2291,116,0.0466,0.6574,106,0.0505,B
216,216,1535,303,107,0.0137,0.0041,791.04,1182.17,42.6,0.01,53.13,0.2291,116,0.0466,0.6574,106,0.0505,B
217,217,1973,364,102,0.0126,0.0054,754.29,1032.42,36.14,0.01,42.52,0.1002,104,0.0741,0.6568,107,0.0665,B
218,218,1973,364,102,0.0126,0.0054,791.04,1032.42,36.14,0.01,42.52,0.1002,104,0.0741,0.6568,107,0.0665,B
219,219,1509,314,108,0.0143,0.0042,703.29,1179.94,28.08,0.006941938000000001,22.05,0.2241,126,0.0495,0.637,100,0.061,B
220,220,1509,314,108,0.0143,0.0042,791.04,1179.94,28.08,0.006941938000000001,22.05,0.2241,126,0.0495,0.637,100,0.061,B
221,221,1927,352,120,0.0127,0.0059,765.66,1003.17,26.09,0.006681034000000001,18.32,0.069,157,0.102,0.6368,160,0.0974,B
222,222,1927,352,120,0.0127,0.0059,791.04,1003.17,26.09,0.006681034000000001,18.32,0.069,157,0.102,0.6368,160,0.0974,B
223,223,1526,354,140,0.0145,0.0047,738.33,1095.55,22.79,0.01,15.09,0.1444,143,0.0758,0.6348,167,0.0883,B
224,224,1592,316,139,0.013000000000000001,0.004,723.24,1174.86,34.95,0.008452026999999999,41.59,0.1787,104,0.0547,0.6342,121,0.0426,B
225,225,1592,316,139,0.013000000000000001,0.004,791.04,1174.86,34.95,0.008452026999999999,41.59,0.1787,104,0.0547,0.6342,121,0.0426,B
226,226,1996,310,146,0.0141,0.0045,792.36,1128.91,19.26,0.0069797209999999995,10.43,0.1213,78,0.0737,0.6295,107,0.0883,B
227,227,1996,310,146,0.0141,0.0045,791.04,1128.91,19.26,0.0069797209999999995,10.43,0.1213,78,0.0737,0.6295,107,0.0883,B
228,228,1692,313,100,0.0127,0.0048,853.89,1051.84,13.01,0.01,4.98,0.1532,85,0.0577,0.628,112,0.0418,B
229,229,1692,313,100,0.0127,0.0048,791.04,1051.84,13.01,0.01,4.98,0.1532,85,0.0577,0.628,112,0.0418,B
230,230,1610,375,109,0.0144,0.0047,788.4,1039.11,40.85,0.007969001,53.57,0.161,117,0.0623,0.6251,106,0.0334,B
231,231,1610,375,109,0.0144,0.0047,791.04,1039.11,40.85,0.007969001,53.57,0.161,117,0.0623,0.6251,106,0.0334,B
232,232,1568,330,172,0.0125,0.0045,875.46,1133.61,39.4,0.01,50.3,0.0986,185,0.084,0.6245,167,0.064,B
233,233,1568,330,172,0.0125,0.0045,791.04,1133.61,39.4,0.01,50.3,0.0986,185,0.084,0.6245,167,0.064,B
234,234,1646,383,177,0.0139,0.0042,814.9,1125.7,38.46,0.01,43.27,0.1327,116,0.0753,0.6242,40,0.0993,B
235,235,1515,361,144,0.0136,0.0046,701.43,1086.94,28.85,0.008246503,27.65,0.1251,148,0.0748,0.6218,126,0.04,B
236,236,1515,361,144,0.0136,0.0046,791.04,1086.94,28.85,0.008246503,27.65,0.1251,148,0.0748,0.6218,126,0.04,B
237,237,1992,319,145,0.0139,0.004,812.37,1030.86,47.63,0.01,68.82,0.1239,13,0.0962,0.6184,2,0.2162,B
238,238,1992,319,145,0.0139,0.004,791.04,1030.86,47.63,0.01,68.82,0.1239,13,0.0962,0.6184,2,0.2162,B
239,239,1423,306,130,0.013000000000000001,0.0045,799.17,1075.38,11.1,0.007776921,3.86,0.1356,148,0.064,0.6177,174,0.0377,B
240,240,1423,306,130,0.013000000000000001,0.0045,791.04,1075.38,11.1,0.007776921,3.86,0.1356,148,0.064,0.6177,174,0.0377,B
241,241,1520,385,174,0.0149,0.0043,861.63,1179.75,28.47,0.01,27.26,0.1469,163,0.078,0.6027,155,0.1042,B
242,242,1359,381,144,0.013999999999999999,0.004,721.83,1022.23,13.71,0.01,6.27,0.1698,102,0.0604,0.6012,116,0.0869,B
243,243,1359,381,144,0.013999999999999999,0.004,791.04,1022.23,13.71,0.01,6.27,0.1698,102,0.0604,0.6012,116,0.0869,B
244,244,1441,305,164,0.0131,0.0049,715.16,1001.59,42.01,0.01,60.15,0.0927,234,0.0919,0.5928,218,0.0662,B
245,245,1441,305,164,0.0131,0.0049,791.04,1001.59,42.01,0.01,60.15,0.0927,234,0.0919,0.5928,218,0.0662,B
246,246,1853,318,119,0.0145,0.0055,882.31,1072.31,11.93,0.007901029,4.53,0.1089,152,0.0872,0.5895,161,0.0502,B
247,247,1853,318,119,0.0145,0.0055,791.04,1072.31,11.93,0.007901029,4.53,0.1089,152,0.0872,0.5895,161,0.0502,B
248,248,1841,345,161,0.0133,0.0051,879.48,1105.08,13.57,0.00752213,5.58,0.091,187,0.0982,0.588,154,0.0665,B
249,249,1841,345,161,0.0133,0.0051,791.04,1105.08,13.57,0.00752213,5.58,0.091,187,0.0982,0.588,154,0.0665,B
250,250,1323,391,118,0.0145,0.0047,754.45,1153.28,21.76,0.01,15.35,0.1513,147,0.0684,0.5843,162,0.0361,B
251,251,1323,391,118,0.0145,0.0047,791.04,1153.28,21.76,0.01,15.35,0.1513,147,0.0684,0.5843,162,0.0361,B
252,252,1761,370,186,0.0138,0.0048,713.59,1070.51,10.14,0.01,2.7,0.0878,154,0.0999,0.584,152,0.1064,B
253,253,1761,370,186,0.0138,0.0048,791.04,1070.51,10.14,0.01,2.7,0.0878,154,0.0999,0.584,152,0.1064,B
254,254,1473,333,166,0.0145,0.0044,738.01,1051.57,17.84,0.007628084,9.78,0.134,182,0.0809,0.5832,145,0.0443,B
255,255,1473,333,166,0.0145,0.0044,791.04,1051.57,17.84,0.007628084,9.78,0.134,182,0.0809,0.5832,145,0.0443,B
256,256,1251,356,140,0.0142,0.0041,836.34,1058.34,12.6,0.01,4.62,0.1725,124,0.0612,0.5817,126,0.0653,B
257,257,1251,356,140,0.0142,0.0041,791.04,1058.34,12.6,0.01,4.62,0.1725,124,0.0612,0.5817,126,0.0653,B
258,258,1334,386,177,0.0142,0.0048,881.18,1058.47,30.96,0.01,26.14,0.0958,215,0.0978,0.5799,217,0.1132,B
259,259,1059,381,100,0.0124,0.005,878.07,1190.4,12.22,0.01,4.54,0.1209,149,0.0626,0.5748,182,0.0468,B
260,260,1059,381,100,0.0124,0.005,791.04,1190.4,12.22,0.01,4.54,0.1209,149,0.0626,0.5748,182,0.0468,B
261,261,1364,322,165,0.0131,0.0046,783.31,1015.51,32.79,0.01,33.09,0.1052,181,0.0836,0.5733,189,0.1098,B
262,262,1364,322,165,0.0131,0.0046,791.04,1015.51,32.79,0.01,33.09,0.1052,181,0.0836,0.5733,189,0.1098,B
263,263,1789,365,171,0.0129,0.0049,724.74,1193.99,41.5,0.01,55.53,0.0888,191,0.0943,0.5668,226,0.0995,B
264,264,1403,386,124,0.015,0.0048,895.82,1161.72,46.49,0.007599909,66.17,0.1526,146,0.0704,0.5599,162,0.0502,B
265,265,1403,386,124,0.015,0.0048,791.04,1161.72,46.49,0.007599909,66.17,0.1526,146,0.0704,0.5599,162,0.0502,B
266,266,1906,316,106,0.0124,0.0041,839.61,1009.45,23.22,0.007140911999999999,15.51,0.09,25,0.0548,0.5559,34,0.0357,B
267,267,1906,316,106,0.0124,0.0041,791.04,1009.45,23.22,0.007140911999999999,15.51,0.09,25,0.0548,0.5559,34,0.0357,B
268,268,1548,306,155,0.0126,0.0051,814.53,1045.87,15.09,0.01,6.15,0.0854,200,0.0932,0.5527,240,0.092,B
269,269,1548,306,155,0.0126,0.0051,791.04,1045.87,15.09,0.01,6.15,0.0854,200,0.0932,0.5527,240,0.092,B
270,270,1982,395,120,0.0129,0.0045,761.28,1112.18,32.84,0.01,28.73,0.1353,73,0.0602,0.5523,50,0.0303,B
271,271,1982,395,120,0.0129,0.0045,791.04,1112.18,32.84,0.01,28.73,0.1353,73,0.0602,0.5523,50,0.0303,B
272,272,1513,386,144,0.0149,0.004,741.26,1035.75,46.3,0.007642726,66.0,0.1848,68,0.0595,0.5518,59,0.0269,B
273,273,1513,386,144,0.0149,0.004,791.04,1035.75,46.3,0.007642726,66.0,0.1848,68,0.0595,0.5518,59,0.0269,B
274,274,1079,367,114,0.0129,0.0056,783.44,1133.7,16.94,0.0075778090000000005,8.76,0.0901,194,0.0865,0.551,206,0.0542,B
275,275,1079,367,114,0.0129,0.0056,791.04,1133.7,16.94,0.0075778090000000005,8.76,0.0901,194,0.0865,0.551,206,0.0542,B
276,276,1572,336,125,0.0136,0.0053,815.4,1011.18,13.21,0.007781226,5.47,0.0966,176,0.0873,0.5497,175,0.0514,B
277,277,1572,336,125,0.0136,0.0053,791.04,1011.18,13.21,0.007781226,5.47,0.0966,176,0.0873,0.5497,175,0.0514,B
278,278,1777,318,154,0.0146,0.0057,739.15,1014.67,22.12,0.01,15.07,0.0801,197,0.1193,0.5493,219,0.083,B
279,279,1777,318,154,0.0146,0.0057,791.04,1014.67,22.12,0.01,15.07,0.0801,197,0.1193,0.5493,219,0.083,B
280,280,1282,300,193,0.0147,0.0049,787.3,1027.06,20.22,0.007109858,11.71,0.0922,288,0.1082,0.5488,304,0.0809,B
281,281,1282,300,193,0.0147,0.0049,791.04,1027.06,20.22,0.007109858,11.71,0.0922,288,0.1082,0.5488,304,0.0809,B
282,282,1858,364,175,0.0135,0.0044,861.22,1085.72,35.75,0.0074817040000000005,38.52,0.1162,135,0.0811,0.5452,101,0.0481,B
283,283,1858,364,175,0.0135,0.0044,791.04,1085.72,35.75,0.0074817040000000005,38.52,0.1162,135,0.0811,0.5452,101,0.0481,B
284,284,1976,323,179,0.0132,0.0053,770.72,1072.16,37.75,0.01,45.9,0.0689,225,0.1181,0.5449,207,0.0816,B
285,285,1976,323,179,0.0132,0.0053,791.04,1072.16,37.75,0.01,45.9,0.0689,225,0.1181,0.5449,207,0.0816,B
286,286,1328,391,166,0.0129,0.0043,720.86,1023.22,18.44,0.01,11.45,0.1208,150,0.07400000000000001,0.542,145,0.0952,B
287,287,1328,391,166,0.0129,0.0043,791.04,1023.22,18.44,0.01,11.45,0.1208,150,0.07400000000000001,0.542,145,0.0952,B
288,288,1439,397,121,0.013000000000000001,0.0047,705.3,1088.47,17.9,0.01,9.83,0.1347,134,0.0684,0.5393,154,0.085,B
289,289,1439,397,121,0.013000000000000001,0.0047,791.04,1088.47,17.9,0.01,9.83,0.1347,134,0.0684,0.5393,154,0.085,B
290,290,1408,322,136,0.0124,0.0048,734.17,1195.82,33.67,0.01,32.75,0.107,208,0.0761,0.5381,209,0.0578,B
291,291,1408,322,136,0.0124,0.0048,791.04,1195.82,33.67,0.01,32.75,0.107,208,0.0761,0.5381,209,0.0578,B
292,292,1326,356,154,0.0121,0.004,764.76,1134.32,25.9,0.007334499,19.82,0.1433,146,0.062,0.5292,155,0.0791,B
293,293,1326,356,154,0.0121,0.004,791.04,1134.32,25.9,0.007334499,19.82,0.1433,146,0.062,0.5292,155,0.0791,B
294,294,1881,344,133,0.015,0.0053,873.32,1029.18,40.71,0.01,44.86,0.1067,154,0.0953,0.5287,147,0.0671,B
295,295,1914,354,190,0.0135,0.0046,818.65,1163.57,34.26,0.007225,34.13,0.0981,104,0.0964,0.5275,149,0.1006,B
296,296,1769,309,137,0.0137,0.0046,874.02,1150.9,38.87,0.00784039,47.72,0.1418,136,0.0709,0.517,122,0.0815,B
297,297,1769,309,137,0.0137,0.0046,791.04,1150.9,38.87,0.00784039,47.72,0.1418,136,0.0709,0.517,122,0.0815,B
298,298,1901,346,166,0.0133,0.0047,715.48,1006.13,37.83,0.006528949,37.64,0.0994,103,0.086,0.5169,83,0.0696,B
299,299,1901,346,166,0.0133,0.0047,791.04,1006.13,37.83,0.006528949,37.64,0.0994,103,0.086,0.5169,83,0.0696,B
300,300,1671,333,140,0.0123,0.0055,733.11,1197.76,17.07,0.01,9.91,0.0672,208,0.1034,0.5167,246,0.1287,B
301,301,1671,333,140,0.0123,0.0055,791.04,1197.76,17.07,0.01,9.91,0.0672,208,0.1034,0.5167,246,0.1287,B
302,302,1135,341,163,0.0121,0.004,736.68,1086.61,13.05,0.006894558,4.73,0.1327,167,0.0654,0.5109,181,0.0655,B
303,303,1135,341,163,0.0121,0.004,791.04,1086.61,13.05,0.006894558,4.73,0.1327,167,0.0654,0.5109,181,0.0655,B
304,304,1825,354,197,0.0126,0.0052,862.57,1158.82,27.38,0.007721968,23.32,0.0646,234,0.121,0.5062,241,0.086,B
305,305,1825,354,197,0.0126,0.0052,791.04,1158.82,27.38,0.007721968,23.32,0.0646,234,0.121,0.5062,241,0.086,B
306,306,1159,351,186,0.0121,0.0041,746.04,1011.63,22.42,0.01,16.54,0.1138,192,0.0741,0.5057,222,0.0908,B
307,307,1159,351,186,0.0121,0.0041,791.04,1011.63,22.42,0.01,16.54,0.1138,192,0.0741,0.5057,222,0.0908,B
308,308,1519,351,131,0.0132,0.0048,782.25,1074.43,10.48,0.008498291,3.76,0.1113,154,0.0731,0.5056,172,0.0363,B
309,309,1519,351,131,0.0132,0.0048,791.04,1074.43,10.48,0.008498291,3.76,0.1113,154,0.0731,0.5056,172,0.0363,B
310,310,1377,323,109,0.0124,0.0045,874.65,1073.75,12.45,0.01,4.54,0.1248,149,0.0558,0.5046,133,0.0576,B
311,311,1439,377,160,0.0145,0.0043,703.65,1083.25,49.37,0.01,69.46,0.1572,131,0.0712,0.5038,140,0.0579,B
312,312,1439,377,160,0.0145,0.0043,791.04,1083.25,49.37,0.01,69.46,0.1572,131,0.0712,0.5038,140,0.0579,B
313,313,1424,380,113,0.0145,0.0048,733.95,1021.7,15.91,0.008443629,8.61,0.1483,122,0.0667,0.5011,135,0.0585,B
314,314,1424,380,113,0.0145,0.0048,791.04,1021.7,15.91,0.008443629,8.61,0.1483,122,0.0667,0.5011,135,0.0585,B
315,315,1963,389,143,0.0121,0.0055,737.73,1016.93,16.65,0.01,7.34,0.0728,134,0.1004,0.5009,142,0.0751,B
316,316,1963,389,143,0.0121,0.0055,791.04,1016.93,16.65,0.01,7.34,0.0728,134,0.1004,0.5009,142,0.0751,B
317,317,1734,326,129,0.0134,0.0046,793.26,1167.02,42.84,0.01,50.53,0.1446,123,0.067,0.4888,138,0.0455,B
318,318,1734,326,129,0.0134,0.0046,791.04,1167.02,42.84,0.01,50.53,0.1446,123,0.067,0.4888,138,0.0455,B
319,319,1446,329,175,0.0136,0.0051,774.27,1057.45,35.36,0.008207527,41.34,0.0833,231,0.1035,0.4854,248,0.1069,B
320,320,1446,329,175,0.0136,0.0051,791.04,1057.45,35.36,0.008207527,41.34,0.0833,231,0.1035,0.4854,248,0.1069,B
321,321,1892,319,145,0.013000000000000001,0.0047,817.61,1014.1,35.7,0.01,40.03,0.1077,95,0.0782,0.4811,125,0.1039,B
322,322,1892,319,145,0.013000000000000001,0.0047,791.04,1014.1,35.7,0.01,40.03,0.1077,95,0.0782,0.4811,125,0.1039,B
323,323,1076,327,105,0.0128,0.0055,842.77,1019.29,14.74,0.01,6.54,0.0953,175,0.0782,0.4742,199,0.0455,B
324,324,1076,327,105,0.0128,0.0055,791.04,1019.29,14.74,0.01,6.54,0.0953,175,0.0782,0.4742,199,0.0455,B
325,325,1761,391,182,0.0131,0.0044,865.61,1175.02,27.1,0.01,23.74,0.1098,132,0.0822,0.4722,118,0.057999999999999996,B
326,326,1761,391,182,0.0131,0.0044,791.04,1175.02,27.1,0.01,23.74,0.1098,132,0.0822,0.4722,118,0.057999999999999996,B
327,327,1770,300,191,0.0126,0.0043,717.49,1083.29,12.02,0.007559796,4.4,0.0974,112,0.0849,0.4715,122,0.0516,B
328,328,1770,300,191,0.0126,0.0043,791.04,1083.29,12.02,0.007559796,4.4,0.0974,112,0.0849,0.4715,122,0.0516,B
329,329,1293,319,100,0.0145,0.0055,828.8,1093.55,30.26,0.01,26.73,0.1298,164,0.0745,0.4675,174,0.0905,B
330,330,1329,375,185,0.0125,0.0041,817.92,1088.4,23.93,0.01,16.81,0.1159,123,0.0734,0.466,171,0.039,B
331,331,1329,375,185,0.0125,0.0041,791.04,1088.4,23.93,0.01,16.81,0.1159,123,0.0734,0.466,171,0.039,B
332,332,1541,387,107,0.0138,0.0046,741.43,1129.61,10.28,0.01,3.09,0.1814,106,0.0566,0.4624,111,0.0342,B
333,333,1541,387,107,0.0138,0.0046,791.04,1129.61,10.28,0.01,3.09,0.1814,106,0.0566,0.4624,111,0.0342,B
334,334,1807,304,128,0.013999999999999999,0.0043,805.06,1182.28,36.71,0.01,41.1,0.1848,119,0.0588,0.4578,85,0.0854,B
335,335,1807,304,128,0.013999999999999999,0.0043,791.04,1182.28,36.71,0.01,41.1,0.1848,119,0.0588,0.4578,85,0.0854,B
336,336,1296,357,118,0.0125,0.0046,798.67,1031.47,38.6,0.006720903,40.34,0.1427,143,0.0623,0.4543,143,0.0776,B
337,337,1296,357,118,0.0125,0.0046,791.04,1031.47,38.6,0.006720903,40.34,0.1427,143,0.0623,0.4543,143,0.0776,B
338,338,1832,399,147,0.0148,0.0049,729.21,1052.26,30.73,0.01,29.18,0.1216,130,0.086,0.4543,114,0.0553,B
339,339,1042,333,157,0.0121,0.0044,762.24,1055.18,47.64,0.007787585,71.2,0.1122,222,0.0737,0.4539,215,0.0598,B
340,340,1042,333,157,0.0121,0.0044,791.04,1055.18,47.64,0.007787585,71.2,0.1122,222,0.0737,0.4539,215,0.0598,B
341,341,1781,302,140,0.0131,0.005,892.69,1102.06,13.2,0.01,4.61,0.1075,166,0.08199999999999999,0.4515,160,0.0775,B
342,342,1062,346,180,0.0134,0.0045,720.5,1152.49,25.26,0.01,21.53,0.1005,278,0.0871,0.4384,289,0.1045,B
343,343,1338,389,182,0.0136,0.0043,863.13,1193.7,43.64,0.01,52.04,0.1129,221,0.0819,0.4384,215,0.0586,B
344,344,1062,346,180,0.0134,0.0045,791.04,1152.49,25.26,0.01,21.53,0.1005,278,0.0871,0.4384,289,0.1045,B
345,345,1338,389,182,0.0136,0.0043,791.04,1193.7,43.64,0.01,52.04,0.1129,221,0.0819,0.4384,215,0.0586,B
346,346,1011,306,146,0.0133,0.0042,824.91,1138.16,49.83,0.006603245,66.05,0.1543,220,0.0617,0.4377,216,0.0414,B
347,347,1011,306,146,0.0133,0.0042,791.04,1138.16,49.83,0.006603245,66.05,0.1543,220,0.0617,0.4377,216,0.0414,B
348,348,1747,325,196,0.0124,0.0054,833.91,1074.47,17.98,0.01,10.87,0.054000000000000006,275,0.1327,0.4332,270,0.159,B
349,349,1747,325,196,0.0124,0.0054,791.04,1074.47,17.98,0.01,10.87,0.054000000000000006,275,0.1327,0.4332,270,0.159,B
350,350,1724,308,124,0.0128,0.0045,827.86,1160.91,13.12,0.007484556,5.19,0.1464,140,0.0611,0.4326,127,0.0306,B
351,351,1724,308,124,0.0128,0.0045,791.04,1160.91,13.12,0.007484556,5.19,0.1464,140,0.0611,0.4326,127,0.0306,B
352,352,1786,336,118,0.0133,0.0057,863.19,1071.07,37.45,0.01,45.99,0.0858,157,0.0924,0.4311,160,0.0915,B
353,353,1786,336,118,0.0133,0.0057,791.04,1071.07,37.45,0.01,45.99,0.0858,157,0.0924,0.4311,160,0.0915,B
354,354,1097,361,117,0.0144,0.0046,756.41,1151.16,23.46,0.01,18.44,0.1644,161,0.063,0.4267,169,0.0756,B
355,355,1956,317,177,0.0143,0.0047,711.61,1067.69,11.83,0.01,4.2,0.107,130,0.0948,0.4247,112,0.0632,B
356,356,1960,371,199,0.0134,0.0052,878.98,1195.73,25.7,0.01,22.55,0.0724,199,0.1229,0.4234,207,0.1087,B
357,357,1647,374,147,0.0142,0.0042,898.12,1019.86,41.33,0.006618026999999999,45.54,0.1596,74,0.0652,0.4229,55,0.0832,B
358,358,1647,374,147,0.0142,0.0042,791.04,1019.86,41.33,0.006618026999999999,45.54,0.1596,74,0.0652,0.4229,55,0.0832,B
359,359,1050,375,188,0.0121,0.0041,712.7,1026.43,23.33,0.01,17.57,0.1138,213,0.0742,0.4193,215,0.0964,B
360,360,1050,375,188,0.0121,0.0041,791.04,1026.43,23.33,0.01,17.57,0.1138,213,0.0742,0.4193,215,0.0964,B
361,361,1319,327,189,0.0122,0.0049,879.79,1173.15,14.94,0.01,6.09,0.0704,293,0.1053,0.4137,303,0.0753,B
362,362,1319,327,189,0.0122,0.0049,791.04,1173.15,14.94,0.01,6.09,0.0704,293,0.1053,0.4137,303,0.0753,B
363,363,1924,366,141,0.0133,0.0045,757.16,1030.01,10.61,0.007166695,3.25,0.136,79,0.0683,0.409,22,0.1122,B
364,364,1924,366,141,0.0133,0.0045,791.04,1030.01,10.61,0.007166695,3.25,0.136,79,0.0683,0.409,22,0.1122,B
365,365,1846,399,187,0.0145,0.0044,883.68,1070.81,45.07,0.007518091,61.52,0.0921,102,0.0914,0.4084,66,0.1156,B
366,366,1846,399,187,0.0145,0.0044,791.04,1070.81,45.07,0.007518091,61.52,0.0921,102,0.0914,0.4084,66,0.1156,B
367,367,1459,330,191,0.0124,0.0042,735.26,1068.57,20.17,0.01,11.41,0.1064,178,0.0807,0.4064,171,0.1027,B
368,368,1459,330,191,0.0124,0.0042,791.04,1068.57,20.17,0.01,11.41,0.1064,178,0.0807,0.4064,171,0.1027,B
369,369,1788,361,182,0.0125,0.0044,704.67,1027.88,17.23,0.01,8.57,0.0914,71,0.0862,0.40399999999999997,69,0.0562,B
370,370,1221,352,159,0.0124,0.0052,847.2,1121.98,14.4,0.008116542,6.78,0.0733,254,0.0998,0.4036,261,0.0873,B
371,371,1221,352,159,0.0124,0.0052,791.04,1121.98,14.4,0.008116542,6.78,0.0733,254,0.0998,0.4036,261,0.0873,B
372,372,1789,338,152,0.0137,0.0053,828.52,1028.33,40.36,0.01,51.33,0.0876,167,0.1024,0.3966,169,0.1177,B
373,373,1055,362,132,0.0131,0.0047,805.94,1052.3,23.69,0.00828907,18.74,0.1291,175,0.0707,0.3954,201,0.09,B
374,374,1055,362,132,0.0131,0.0047,791.04,1052.3,23.69,0.00828907,18.74,0.1291,175,0.0707,0.3954,201,0.09,B
375,375,1849,314,181,0.0136,0.0052,840.76,1154.55,36.33,0.01,43.11,0.0761,217,0.115,0.3926,223,0.1375,B
376,376,1849,314,181,0.0136,0.0052,791.04,1154.55,36.33,0.01,43.11,0.0761,217,0.115,0.3926,223,0.1375,B
377,377,1685,355,155,0.013000000000000001,0.0044,732.27,1171.02,21.77,0.01,13.87,0.1267,143,0.071,0.3868,156,0.0716,B
378,378,1685,355,155,0.013000000000000001,0.0044,791.04,1171.02,21.77,0.01,13.87,0.1267,143,0.071,0.3868,156,0.0716,B
379,379,1454,363,179,0.0132,0.0041,886.3,1148.67,12.98,0.01,5.18,0.1419,139,0.0711,0.3862,131,0.0929,B
380,380,1449,399,171,0.0143,0.0043,842.1,1172.5,14.68,0.007337594,6.37,0.1399,155,0.0776,0.3836,164,0.066,B
381,381,1449,399,171,0.0143,0.0043,791.04,1172.5,14.68,0.007337594,6.37,0.1399,155,0.0776,0.3836,164,0.066,B
382,382,1390,333,149,0.0132,0.0047,818.24,1103.94,19.8,0.008383472,13.24,0.1042,197,0.0765,0.3831,193,0.1092,B
383,383,1390,333,149,0.0132,0.0047,791.04,1103.94,19.8,0.008383472,13.24,0.1042,197,0.0765,0.3831,193,0.1092,B
384,384,1528,394,155,0.013999999999999999,0.005,826.9,1066.91,39.39,0.0084859,53.04,0.1047,163,0.0917,0.3811,179,0.0576,B
385,385,1528,394,155,0.013999999999999999,0.005,791.04,1066.91,39.39,0.0084859,53.04,0.1047,163,0.0917,0.3811,179,0.0576,B
