
d_int,d_bed,rho_int,rho_bed,freq,amp,yint_a,yint_b,con_i,zint_f,con_f

0.02,0.006,700.00,700.00,6.00,0.006,0.000,0.004,250,0.1055,274
0.02,0.006,800.00,700.00,6.00,0.006,0.000,-0.002,270,0.1106,275
0.02,0.006,900.00,700.00,6.00,0.006,0.000,-0.000,252,0.2215,276
0.02,0.006,1000.00,700.00,6.00,0.006,0.000,-0.001,236,0.2591,275
0.02,0.006,1100.00,700.00,6.00,0.006,0.000,0.002,240,0.1112,261
0.02,0.006,1200.00,700.00,6.00,0.006,0.000,0.003,275,0.9302,297
0.02,0.006,1300.00,700.00,6.00,0.006,0.000,0.007,254,0.1091,283
0.02,0.006,1400.00,700.00,6.00,0.006,0.000,-0.007,257,0.1123,273
0.02,0.006,700.00,800.00,6.00,0.006,0.000,-0.006,286,0.4871,295
0.02,0.006,800.00,800.00,6.00,0.006,0.000,-0.001,269,0.1117,288
0.02,0.006,900.00,800.00,6.00,0.006,0.000,0.006,267,1.1036,309
0.02,0.006,1000.00,800.00,6.00,0.006,0.000,0.004,274,0.1294,299
0.02,0.006,1100.00,800.00,6.00,0.006,0.000,0.000,270,0.8032,315
0.02,0.006,1200.00,800.00,6.00,0.006,0.000,-0.003,274,0.7658,308
0.02,0.006,1300.00,800.00,6.00,0.006,0.000,-0.003,273,0.8062,316
0.02,0.006,1400.00,800.00,6.00,0.006,0.000,-0.005,275,0.1108,278
0.02,0.006,700.00,900.00,6.00,0.006,0.000,0.004,277,0.7024,332
0.02,0.006,800.00,900.00,6.00,0.006,0.000,0.000,277,0.8494,314
0.02,0.006,900.00,900.00,6.00,0.006,0.000,0.001,279,0.7179,334
0.02,0.006,1000.00,900.00,6.00,0.006,0.000,0.005,274,0.8067,324
0.02,0.006,1100.00,900.00,6.00,0.006,0.000,0.002,256,0.1142,308
0.02,0.006,1200.00,900.00,6.00,0.006,0.000,0.004,266,0.1126,300
0.02,0.006,1300.00,900.00,6.00,0.006,0.000,0.000,294,0.1209,308
0.02,0.006,1400.00,900.00,6.00,0.006,0.000,-0.001,268,0.1164,298
0.02,0.006,700.00,1000.00,6.00,0.006,0.000,0.000,270,0.7237,335
0.02,0.006,800.00,1000.00,6.00,0.006,0.000,0.002,277,0.9108,364
0.02,0.006,900.00,1000.00,6.00,0.006,0.000,-0.003,273,0.927,355
0.02,0.006,1000.00,1000.00,6.00,0.006,0.000,-0.001,275,0.2609,281
0.02,0.006,1100.00,1000.00,6.00,0.006,0.000,0.007,287,0.131,334
0.02,0.006,1200.00,1000.00,6.00,0.006,0.000,0.002,282,0.1129,285
0.02,0.006,1300.00,1000.00,6.00,0.006,0.000,-0.006,273,0.7937,344
0.02,0.006,1400.00,1000.00,6.00,0.006,0.000,-0.002,263,0.111,293
0.02,0.006,700.00,1100.00,6.00,0.006,0.000,0.001,275,1.0759,372
0.02,0.006,800.00,1100.00,6.00,0.006,0.000,0.006,290,0.7683,323
0.02,0.006,900.00,1100.00,6.00,0.006,0.000,-0.001,267,0.8795,354
0.02,0.006,1000.00,1100.00,6.00,0.006,0.000,-0.003,293,0.9442,374
0.02,0.006,1100.00,1100.00,6.00,0.006,0.000,-0.001,266,0.1182,300
0.02,0.006,1200.00,1100.00,6.00,0.006,0.000,-0.006,274,0.1142,325
0.02,0.006,1300.00,1100.00,6.00,0.006,0.000,0.006,276,0.1153,304
0.02,0.006,1400.00,1100.00,6.00,0.006,0.000,-0.011,281,0.118,302
0.02,0.006,700.00,1200.00,6.00,0.006,0.000,-0.008,283,0.5229,347
0.02,0.006,800.00,1200.00,6.00,0.006,0.000,0.001,279,0.6678,312
0.02,0.006,900.00,1200.00,6.00,0.006,0.000,0.002,286,0.3732,306
0.02,0.006,1000.00,1200.00,6.00,0.006,0.000,-0.002,277,0.7555,359
0.02,0.006,1100.00,1200.00,6.00,0.006,0.000,-0.008,292,0.1136,300
0.02,0.006,1200.00,1200.00,6.00,0.006,0.000,-0.000,280,0.1425,300
0.02,0.006,1300.00,1200.00,6.00,0.006,0.000,0.005,283,0.9409,371
0.02,0.006,1400.00,1200.00,6.00,0.006,0.000,0.005,265,0.118,296
0.02,0.006,700.00,1300.00,6.00,0.006,0.000,-0.001,272,0.9512,334
0.02,0.006,800.00,1300.00,6.00,0.006,0.000,-0.001,282,0.1195,328
0.02,0.006,900.00,1300.00,6.00,0.006,0.000,-0.004,269,0.1624,309
0.02,0.006,1000.00,1300.00,6.00,0.006,0.000,-0.001,285,0.1088,292
0.02,0.006,1100.00,1300.00,6.00,0.006,0.000,-0.004,283,0.2063,302
0.02,0.006,1200.00,1300.00,6.00,0.006,0.000,0.002,266,0.1148,316
0.02,0.006,1300.00,1300.00,6.00,0.006,0.000,-0.001,277,0.115,299
0.02,0.006,1400.00,1300.00,6.00,0.006,0.000,0.001,263,0.1161,316
0.02,0.006,700.00,1400.00,6.00,0.006,0.000,-0.005,276,1.1308,356
0.02,0.006,800.00,1400.00,6.00,0.006,0.000,-0.005,278,0.7808,358
0.02,0.006,900.00,1400.00,6.00,0.006,0.000,-0.002,272,0.6836,316
0.02,0.006,1000.00,1400.00,6.00,0.006,0.000,-0.003,285,0.1137,301
0.02,0.006,1100.00,1400.00,6.00,0.006,0.000,-0.009,291,1.253,326
0.02,0.006,1200.00,1400.00,6.00,0.006,0.000,0.000,283,0.9778,369
0.02,0.006,1300.00,1400.00,6.00,0.006,0.000,0.006,279,1.2697,365
0.02,0.006,1400.00,1400.00,6.00,0.006,0.000,0.000,280,0.1134,293
